help,rating_R,cast,man,man,little,house,time,high,high,family,country,young,rating_TV-G,woman,story,american,rating_G,king,duration,black,life,life,rating_TV-Y7-FV,rating_TV-MA,teen,good,rating_PG,old,series,world,world,release_year,rating_TV-14,new,day,movie,type,group,director,christmas,friends,girl,girl,rating_NC-17,rating_PG-13
0,0.0,2879,0,0,0,0,0,0,0,0,8682,0,0.0,0,0,0,0.0,0,117,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,2017.6070611636783,0.0,0,0,0,0,0,1044,0,0,0,0,0.0,0.0
0,0.0,9522,0,0,0,0,0,0,0,0,4034,0,1.0,0,0,0,0.0,0,105,0,0,1,0.0,0.0,1,0,0.0,0,0,0,0,2020.0,0.0,0,0,0,0,0,2288,0,0,0,0,0.0,0.0
0,0.0,5160,0,0,0,0,0,0,0,0,3278,0,0.0,0,0,0,0.0,0,115,0,0,0,0.0,0.9926262234866999,0,0,0.0,0,0,0,0,2019.9705048939468,0.0,0,0,0,0,0,8974,0,0,0,0,0.0,0.007373776513300068
0,0.0,3614,0,0,0,0,0,0,0,0,9304,0,0.0,0,0,0,0.0,0,69,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,2018.0,0.0,0,0,0,0,0,2409,0,0,0,0,0.0,0.0
0,0.0,4005,0,0,0,0,0,0,1,0,9337,0,0.0,0,0,0,0.0,0,96,0,0,0,0.0,0.0,0,0,0.0,1,0,0,0,2017.0,0.0,0,0,0,0,0,3211,0,0,0,0,0.0,1.0
0,0.0,7511,0,0,0,0,0,0,0,0,4034,0,0.1240093082251772,0,0,0,0.0,0,72,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,2019.0,0.0,0,0,0,0,0,5129,0,0,0,0,0.0,0.0
0,0.0,7138,0,0,0,0,0,0,0,0,1325,0,0.0,0,0,0,0.0,0,131,0,0,0,0.0,0.2890132581361947,0,0,0.0,0,0,0,0,2016.4450662906809,0.7109867418638053,0,0,0,0,0,1203,0,0,0,0,0.0,0.0
0,0.0,9941,0,0,0,0,0,0,0,0,1325,0,0.0,0,0,0,0.0,0,140,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,2018.297003659629,1.0,0,0,0,0,0,9902,0,0,0,0,0.0,0.0
1,0.0,6882,0,0,0,0,0,0,0,0,3278,0,0.0,0,0,0,0.0,0,114,0,0,0,0.0,0.0,0,0,0.0,1,0,0,0,2018.0,0.0,0,0,0,0,0,3093,0,0,0,0,0.0,0.0
0,0.0,2233,0,0,0,0,0,0,0,0,4466,0,0.0,0,0,0,0.0,0,103,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,2013.1827852913204,1.0,0,0,0,0,0,6140,0,0,0,0,0.0,0.0
0,0.0,3567,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,91,0,0,0,0.0,0.0,0,0,0.03892680096423251,0,0,0,0,2018.6885855922862,0.9610731990357675,0,0,0,0,0,2108,0,0,0,0,0.0,0.0
0,0.7982625990279998,7776,0,0,0,0,0,0,0,0,7694,0,0.0,0,0,0,0.0,0,97,0,0,0,0.0,0.0,0,0,0.2017374009720002,0,0,0,0,2014.596525198056,0.0,0,0,0,0,0,3863,0,0,0,0,0.0,0.0
0,1.0,3055,0,0,0,0,0,0,0,1,3543,0,0.0,0,0,0,0.0,0,112,0,0,0,0.0,0.0,1,0,0.0,0,0,0,0,2014.0,0.0,0,0,0,0,0,8308,0,0,0,0,0.0,0.0
1,0.0,7098,0,1,0,0,0,0,0,0,1325,1,0.0,0,0,0,0.0,0,150,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,2009.0,1.0,0,0,0,0,0,7033,0,0,0,1,0.0,0.0
0,0.0,3048,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,107,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,2016.0,0.0,0,0,0,0,0,9037,0,0,0,0,0.0,1.0
0,0.0,9723,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,103,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,2019.0,0.0,0,0,0,0,1,5483,0,0,0,0,0.0,0.0
0,0.0,3851,0,0,0,0,0,0,0,0,1325,0,0.0,0,0,0,0.0,0,150,0,0,1,0.0,0.0,0,0,0.0,0,0,0,0,2001.0,1.0,0,0,0,0,0,9644,0,0,0,0,0.0,0.0
0,0.0,5337,0,0,0,0,0,0,0,0,2608,0,0.0,1,0,0,0.0,0,94,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,2018.0,0.0,0,0,0,0,0,8229,0,0,0,0,0.0,0.0
0,0.0,8825,0,0,0,0,0,0,0,0,3543,0,0.0,0,0,0,0.0,0,95,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,2005.0,0.0,0,0,0,0,0,9658,0,0,0,0,0.0,1.0
0,0.0,3262,0,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0.0,0,58,0,0,1,0.0,1.0,0,0,0.0,0,0,0,0,2020.0,0.0,0,0,0,0,0,5847,0,0,0,0,0.0,0.0
0,0.0,6972,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,86,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,2019.318343355153,0.0,0,0,0,0,0,3543,0,0,0,0,0.0,0.0
0,0.0,8117,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,85,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,2017.0,0.0,0,0,0,0,0,2620,0,0,0,0,0.0,0.0
0,0.0,9125,0,0,0,0,0,0,0,0,7694,0,0.0,0,0,0,0.0,0,94,0,0,0,0.0,1.0,0,0,0.0,1,0,0,0,2018.0,0.0,0,0,0,0,0,5074,0,1,0,0,0.0,0.0
