help,rating_R,cast,finds,man,man,high,high,family,father,country,young,rating_TV-G,love,love,woman,story,home,rating_G,king,duration,life,life,rating_TV-MA,rating_PG,rating_UR,series,rating_TV-Y,world,world,release_year,rating_TV-14,day,new,school,movie,type,group,director,rating_TV-PG,friends,girl,girl,rating_TV-Y7
0,0.0,8685,0,0,0,0,0,0,0,4096,0,0.0,0,0,0,0,0,0.0,0,208,0,1,1.0,0.0,0.0,0,0.0,0,0,2005.0,0.0,0,0,0,0,0,0,4470,0.0,0,0,0,0.0
0,0.0,5654,0,0,0,0,0,0,0,1723,0,0.0,0,0,0,0,0,0.0,0,95,0,0,1.0,0.0,0.0,0,0.0,0,0,2012.1946421337807,0.0,0,0,0,0,0,0,7523,0.0,0,0,0,0.0
0,0.0,4373,0,0,0,0,0,0,0,4590,0,0.0,0,0,0,0,0,0.0,0,102,0,0,1.0,0.0,0.0,0,0.0,0,0,2017.231048083967,0.0,0,0,0,0,0,0,4987,0.0,0,0,0,0.0
0,0.0,6922,0,0,0,0,0,0,0,1366,0,0.0,0,0,0,0,0,0.0,0,110,0,0,0.10430090453019814,0.0,0.0,0,0.0,0,0,2020.6870972864094,0.8956990954698019,0,0,0,0,0,0,9253,0.0,0,0,0,0.0
0,0.0,4116,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0,0,0.0,0,89,0,0,1.0,0.0,0.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,0,0,8032,0.0,0,0,0,0.0
0,0.0,2741,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,118,0,0,0.06597661891027518,0.0,0.0,0,0.0,0,0,2016.9340233810897,0.9340233810897248,0,0,0,0,0,0,5333,0.0,0,0,0,0.0
0,0.23863874955528042,8810,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0,0,0.0,0,90,0,0,0.0,0.0,0.0,0,0.0,0,0,2017.4772774991106,0.7613612504447196,0,0,0,0,0,0,4830,0.0,0,0,0,0.0
0,0.0,2593,0,0,0,0,0,0,0,6060,0,0.0,0,0,0,0,0,0.0,0,98,0,0,0.06686486963677973,0.9331351303632203,0.0,0,0.0,0,0,2013.2005946089103,0.0,0,0,0,0,0,0,3232,0.0,0,0,0,0.0
0,0.0,6311,0,0,0,0,0,0,0,9337,0,0.3689530510038185,0,0,0,0,0,0.6310469489961815,0,72,0,0,0.0,0.0,0.0,0,0.0,0,0,2012.3205774590344,0.0,0,0,0,0,0,0,9934,0.0,0,0,0,0.0
0,0.0,7886,0,0,0,0,0,0,0,3944,0,0.0,0,0,0,0,0,0.0,0,97,0,0,1.0,0.0,0.0,0,0.0,0,0,2016.637632340483,0.0,0,0,0,0,0,0,4904,0.0,0,0,0,0.0
0,0.0,7519,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0,0,0.0,0,62,0,0,0.0,0.0,0.0,0,0.0,0,0,2014.1963247841272,0.0,0,0,0,0,0,0,9836,1.0,0,0,0,0.0
0,0.0,5707,0,0,0,0,0,1,0,9355,0,0.0,0,0,0,0,0,0.0,0,93,0,0,0.8811018750963169,0.0,0.0,0,0.0,0,0,2015.8811018750964,0.0,0,0,0,0,0,0,4828,0.11889812490368312,0,0,0,0.0
0,0.0,9687,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,112,0,0,0.0,0.0,0.0,0,0.0,0,0,2017.024068176199,0.0,0,0,0,0,0,0,2229,1.0,0,0,0,0.0
0,0.0,7409,0,0,0,0,0,0,0,9401,0,0.0,0,0,0,0,0,0.0,0,95,0,0,0.5921308513442985,0.0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,0,0,7635,0.0,0,0,0,0.0
0,0.0,7009,0,0,0,0,0,0,0,1325,0,0.0,0,0,0,0,0,0.0,0,92,0,0,0.0,0.0,0.0,0,0.0,0,0,2017.0,1.0,0,0,0,0,0,0,5684,0.0,0,0,0,0.0
0,0.0,4403,0,0,0,0,0,0,0,9304,0,0.0,0,0,0,0,0,0.0,0,96,0,0,0.0,0.0,0.0,0,0.0,0,0,2014.0219060038205,1.0,0,0,0,0,0,0,9202,0.0,0,0,0,0.0
0,0.0,2442,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,94,0,0,0.0,0.0,0.0,0,0.0,0,0,2013.7539766680059,0.5507953336011713,0,0,0,0,0,0,2147,0.0,0,0,0,0.0
0,0.0,9064,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,85,0,0,0.0,0.0,0.0,0,0.0,0,0,2018.0,0.565906464097551,0,0,0,0,0,0,8425,0.43409353590244903,0,0,0,0.0
0,0.0,5556,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,96,0,0,0.018718975665905746,0.0,0.0,0,0.0,0,0,2020.9251240973363,0.0,0,0,0,0,0,0,3805,0.9812810243340943,0,0,0,0.0
0,0.0,8265,0,0,0,0,0,0,0,1700,0,0.7072083925113755,0,0,0,0,0,0.0,0,62,0,0,0.0,0.0,0.0,0,0.0,0,1,2018.8288335700454,0.0,0,0,0,0,0,0,4244,0.29279160748862454,0,0,0,0.0
0,0.0,9831,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,64,0,0,0.0,0.0,0.0,0,0.0,0,0,2017.0752126665332,0.6415957778222988,0,0,0,0,0,0,5557,0.3584042221777012,0,0,0,0.0
0,0.0,9220,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,55,0,0,0.0,0.0,0.0,0,0.0,0,0,2020.5588712935603,0.0,0,0,0,0,0,0,6763,1.0,0,0,0,0.0
0,0.3138488475400303,8287,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,175,0,0,0.6861511524599697,0.0,0.0,0,0.0,0,0,2007.8246396278603,0.0,0,0,0,0,0,0,4391,0.0,0,0,0,0.0
0,0.5695848846406243,4945,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,86,0,0,0.4304151153593757,0.0,0.0,0,0.0,0,0,2006.8995476532657,0.0,0,0,0,0,0,0,3768,0.0,0,0,0,0.0
0,0.0,4507,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,74,0,0,0.15743804577628684,0.0,0.0,0,0.0,0,0,2014.7871902288814,0.8425619542237132,0,0,0,0,0,0,9413,0.0,0,0,0,0.0
0,0.0,1479,0,0,0,0,0,0,0,9420,0,0.0,0,0,0,0,0,0.0,0,70,0,0,0.4660765530089267,0.0,0.0,0,0.0,0,0,2010.3893779541606,0.0,0,0,0,0,0,0,8781,0.0,0,0,0,0.0
0,0.0,7908,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0,0,0.0,0,97,0,0,0.0,0.0,0.0,0,0.0,0,0,2015.9085154304005,0.954257715200285,0,0,0,0,0,0,9775,0.04574228479971498,0,0,0,0.0
0,0.0,8004,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,93,0,0,0.0,0.0,0.0,0,0.0,0,0,2017.8461641344502,1.0,0,0,0,0,0,0,9071,0.0,0,0,0,0.0
0,0.0,3538,0,0,0,0,0,0,0,8033,0,0.0,0,0,0,0,0,0.0,0,104,0,0,1.0,0.0,0.0,0,0.0,0,0,2015.9044336308705,0.0,0,0,0,0,0,0,2958,0.0,0,0,0,0.0
0,0.0,2086,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,58,0,0,0.0,0.0,0.0,0,0.0,0,0,2018.6609886951449,0.0,0,0,0,0,0,0,5829,1.0,0,0,0,0.0
0,0.0,5575,0,0,0,0,0,0,0,1332,0,0.0,0,0,0,0,0,0.0,0,80,0,0,0.0,0.0,0.0,0,0.0,0,0,2013.099807537871,0.024951884467717456,0,0,0,0,0,0,3136,0.9750481155322825,0,0,0,0.0
0,0.0,2844,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,95,0,0,0.9667025653720267,0.0,0.0,0,0.0,0,0,2018.933405130744,0.0332974346279733,0,0,0,0,0,0,7809,0.0,0,0,0,0.0
0,0.0,5955,0,0,0,0,0,0,0,3572,0,0.0,0,0,0,0,0,0.0,0,73,0,0,0.07386481970838243,0.0,0.0,0,0.0,0,0,2018.778405540875,0.9261351802916176,0,0,0,0,0,0,5632,0.0,0,0,0,0.0
0,0.0,6427,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,96,0,0,1.0,0.0,0.0,0,0.0,0,0,2017.9143553572476,0.0,0,0,0,0,0,0,9392,0.0,0,0,0,0.0
0,0.0,3569,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,103,0,0,0.23232996897401126,0.0,0.0,0,0.0,0,0,2019.303010093078,0.0,0,0,0,0,0,0,3383,0.0,0,0,0,0.0
0,0.0,9043,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,72,0,0,0.0,0.0,0.0,0,0.0,0,0,2018.6906316131085,0.6700902304440852,0,0,0,0,0,0,8860,0.0,0,0,0,0.0
0,0.0,2309,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,116,0,1,0.2240150503390529,0.0,0.0,0,0.0,0,0,2016.4480301006781,0.0,0,0,0,0,0,0,2349,0.7759849496609471,0,0,0,0.0
0,0.0,6097,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.19645242239806582,0,84,0,0,0.8035475776019342,0.0,0.0,0,0.0,0,0,2014.6248330432136,0.0,0,0,0,0,0,0,9614,0.0,0,0,0,0.0
0,0.0,9080,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,72,0,1,0.26792563142449144,0.0,0.0,0,0.0,0,0,2018.535851262849,0.0,0,0,0,0,0,0,6577,0.7320743685755086,0,0,0,0.0
0,0.0,7390,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,53,0,0,0.0,0.0,0.0,0,0.0,0,0,2018.2921538748296,1.0,0,0,0,0,0,0,6884,0.0,0,0,0,0.0
0,0.0,9760,0,0,0,0,0,0,0,6946,0,0.0,0,0,0,0,0,0.0,0,181,0,1,0.0,0.0,0.0,0,0.0,0,0,2015.393627683728,1.0,0,0,0,0,0,0,5209,0.0,0,0,0,0.0
0,0.0,8577,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,43,0,0,0.0,0.31833518674195194,0.0,0,0.0,0,0,1964.9201334454206,0.6816648132580481,0,0,0,0,0,0,4823,0.0,0,0,0,0.0
0,0.0,2616,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,104,0,0,0.0,0.6628109362497648,0.0,0,0.0,0,0,2014.0115671912506,0.33718906375023516,0,0,0,0,0,0,3180,0.0,0,0,0,0.0
0,0.0,2233,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,77,0,0,0.7215533893137174,0.0,0.0,0,0.0,0,0,2018.113786442745,0.0,0,0,0,0,0,0,3800,0.2784466106862826,0,0,0,0.0
0,0.0,5023,0,0,0,0,0,0,0,1548,0,0.0,0,0,0,0,0,0.0,0,79,0,0,0.5608338281117115,0.0,0.0,0,0.0,0,0,2017.4866706248938,0.0,0,0,0,0,0,0,8259,0.43916617188828855,0,0,0,0.0
0,0.0,1318,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,94,0,0,0.670982232385235,0.0,0.0,0,0.0,0,0,2016.6580355352296,0.0,0,0,0,0,0,0,1343,0.329017767614765,0,0,0,0.0
0,0.0,6888,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,85,0,0,0.4015925059352843,0.0,0.0,0,0.0,0,0,2017.5984074940648,0.0,0,0,0,0,0,0,6721,0.5984074940647157,0,0,0,0.0
0,0.0,7626,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0,0,0.0,0,94,0,0,0.9010094633112974,0.0,0.0,0,0.0,0,0,2014.0,0.09899053668870261,0,0,0,0,0,0,7183,0.0,0,0,0,0.0
0,0.0,4521,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,74,0,0,1.0,0.0,0.0,0,0.0,0,0,2017.5321280663386,0.0,0,0,0,0,0,0,9737,0.0,0,0,0,0.0
0,0.0,1483,0,0,0,0,0,0,0,9344,0,0.0,0,0,0,0,0,0.0,0,43,0,0,0.0,0.0,0.0,0,0.0,0,0,2017.0470429511001,0.9529570488998762,0,0,0,0,0,0,6837,0.0,0,0,0,0.0
0,0.0,6692,0,0,0,0,0,0,0,9325,0,0.0,0,0,0,0,0,0.0,0,94,0,0,0.0,0.0,0.0,0,0.0,0,0,2009.7828549787193,0.07828549787194217,0,0,0,0,0,0,4002,0.0,0,0,0,0.0
0,0.0,6263,0,0,0,0,0,0,0,9438,0,0.648645315668746,0,0,0,0,0,0.0,0,80,0,0,0.0,0.0,0.0,0,0.0,0,0,2017.8918718940124,0.35135468433125405,0,0,0,0,0,0,1178,0.0,0,0,0,0.0
