help,rating_R,cast,finds,man,man,high,high,family,father,country,young,rating_TV-G,love,love,woman,story,home,rating_G,king,duration,life,life,rating_TV-MA,rating_PG,rating_UR,series,rating_TV-Y,world,world,release_year,rating_TV-14,day,new,school,movie,type,group,director,rating_TV-PG,friends,girl,girl,rating_TV-Y7
0,0.0,5007,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0,0,0.0,0,105,0,0,1.0,0.0,0.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,0,0,4855,0.0,0,0,0,0.0
0,0.0,4422,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,101,0,0,0.0,0.0,0.0,0,0.0,0,0,2014.0,0.0,0,0,0,1,0,0,3428,0.0,0,0,0,0.0
0,0.0,6432,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0,0,0.0,0,105,0,0,0.0,0.0,0.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,0,0,8282,1.0,0,0,0,0.0
0,0.0,4876,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,106,0,0,0.0,0.0,0.0,0,0.0,0,0,2012.0,0.0,0,0,0,0,0,0,8301,0.0,0,0,0,0.0
0,0.0,9559,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,112,0,0,1.0,0.0,0.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,0,0,9569,0.0,0,0,0,0.0
0,0.0,1631,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,91,0,1,0.0,0.0,0.0,0,0.0,0,0,2011.0,0.0,0,1,0,0,0,0,9836,0.0,0,0,0,0.0
0,0.0,6527,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,66,0,0,1.0,0.0,0.0,0,0.0,0,0,2017.0,0.0,0,0,1,0,0,0,4858,0.0,0,0,0,0.0
0,0.0,5019,0,0,0,0,0,1,0,9337,0,0.0,0,0,0,0,0,0.0,0,100,0,0,0.0,0.0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,0,0,4020,0.0,0,0,0,0.0
0,0.0,2518,0,0,1,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,73,0,0,0.0,0.0,0.0,0,0.0,0,0,1992.0,0.0,0,0,0,0,0,0,4510,0.0,0,0,0,0.0
0,0.0,9234,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,90,0,0,1.0,0.0,0.0,0,0.0,0,0,2012.0,0.0,0,0,0,0,0,0,4577,0.0,0,0,0,0.0
0,0.0,5469,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,33,0,0,0.0,0.0,0.0,0,0.0,0,0,2021.0,1.0,0,0,0,0,0,0,7004,0.0,0,0,0,0.0
0,0.0,6079,0,0,0,0,0,0,0,4655,0,0.0,0,0,0,0,0,0.0,0,108,0,0,0.0,0.0,0.0,0,0.0,0,0,2017.0,1.0,0,0,0,0,0,0,3037,0.0,0,0,0,0.0
