girls,rating_R,cast,man,man,house,high,high,family,father,country,young,rating_TV-G,love,love,woman,rating_NC-17,rating_NR,rating_G,king,duration,life,life,rating_TV-Y7-FV,rating_TV-MA,teen,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,movie,type,group,director,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0.0,7701,0,0,0,0,0,0,0,1325,0,0.0,0,1,0,0.0,0.0,0.0,0,187,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,1997.0,1.0,0,0,0,0,8040,0,0,1,0.0,0.0
0,0.0,7325,0,0,0,0,0,0,0,1325,0,0.0,0,1,1,0.0,0.0,0.0,0,96,0,0,0.0,1.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,0,8421,0,0,0,0.0,0.0
0,0.18642504580184027,4246,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0.0,0.0,0,133,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,1976.1348272442901,0.8135749541981597,0,0,0,0,9986,0,0,0,0.0,0.0
0,1.0,5392,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0.0,0.0,0,102,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,2016.103800393092,0.0,0,0,0,0,5495,0,0,0,0.0,0.0
0,0.0,7985,1,0,0,0,0,0,0,1325,0,0.0,0,0,0,0.0,0.0,0.0,0,130,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,0,3239,0,0,0,0.0,1.0
0,0.3753458533825711,3050,0,0,0,0,0,0,0,5288,0,0.0,0,0,0,0.0,0.0,0.0,0,96,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,2011.6246541466173,0.0,0,0,0,0,8599,0,0,0,0.0,0.6246541466174289
0,0.0,8796,0,0,0,0,0,0,0,1325,0,0.0,0,0,0,0.0,0.0,0.0,0,156,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,2012.9158724516908,0.8795413835211915,0,0,0,0,9693,0,0,0,0.0,0.0
0,0.0,4707,0,0,0,0,0,0,0,3944,0,0.0,0,0,0,0.0,0.0,0.0,0,73,0,0,0.0,1.0,0,0.0,0,0,0.0,0,0,2015.2486281998517,0.0,0,0,0,0,1521,0,0,0,0.0,0.0
0,0.0,4679,0,0,0,0,0,0,0,2585,0,0.0,0,0,0,0.0,0.0,0.0,0,94,0,0,0.0,0.74883417937167,0,0.0,0,0,0.0,0,0,2016.0046632825133,0.0,0,0,0,0,1909,0,0,0,0.0,0.0
0,0.0,2808,0,0,0,0,0,0,0,1325,0,0.0,0,0,0,0.0,0.0,0.0,0,124,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,0,6673,0,0,0,0.0,0.0
0,0.7946321162612681,3786,0,0,0,0,0,0,0,7719,0,0.0,0,0,0,0.0,0.0,0.0,0,124,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,2013.7677926975675,0.0,0,0,0,0,8720,0,0,0,0.0,0.20536788373873194
0,0.0,5957,0,0,0,0,0,0,0,1325,2,0.0,0,0,1,0.0,0.0,0.0,0,124,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,2016.0,1.0,0,0,0,0,3865,0,0,0,0.0,0.0
0,0.0,4354,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0.0,0.0,0,118,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,2005.0,0.0,0,0,0,0,6336,0,0,0,0.0,1.0
0,0.0,4986,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0.0,0.0,0,99,0,0,0.0,1.0,0,0.0,0,0,0.0,0,0,2016.0,0.0,0,0,0,0,3528,0,0,0,0.0,0.0
