girls,help,rating_R,cast,little,man,man,high,high,country,young,rating_TV-G,love,love,woman,american,rating_G,king,duration,life,life,rating_TV-Y7-FV,rating_TV-MA,teen,rating_PG,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,movie,type,group,director,rating_TV-PG,christmas,girl,girl,rating_TV-Y7,rating_PG-13
0,0,0.0,5427,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,89,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2011.0,0.0,0,0,0,0,4585,0.0,0,0,0,0.0,1.0
0,0,0.0,3602,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,81,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,1,0,0,6673,1.0,0,0,0,0.0,0.0
0,0,0.0,4561,0,0,0,0,0,4756,1,0.0,0,0,0,0,0.0,0,85,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,8109,0.0,0,0,1,0.0,0.0
0,0,0.0,8931,0,0,0,0,0,1325,0,0.0,0,0,0,0,0.0,1,90,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,5424,1.0,0,0,0,0.0,0.0
0,0,0.0,4561,0,0,0,0,0,7694,1,0.0,0,0,0,0,0.0,0,85,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,7026,0.0,0,0,1,0.0,0.0
0,0,0.0,3632,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,90,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2009.0,0.0,0,0,0,0,1179,0.0,0,0,0,0.0,0.0
0,0,0.0,9865,0,0,0,0,0,8646,0,0.0,0,0,0,0,0.0,0,89,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2009.0,0.0,0,0,0,0,3909,0.0,0,0,0,0.0,0.0
0,0,0.0,1851,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,88,0,0,0.0,0.0,0,1.0,0,0.0,1,0,2011.0,0.0,0,0,0,0,3909,0.0,0,0,0,0.0,0.0
0,0,0.0,9956,0,0,0,0,1,9337,0,0.0,0,0,0,0,0.0,0,89,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2004.0,0.0,0,0,0,0,4273,0.0,0,0,0,0.0,0.0
0,0,0.0,3803,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,77,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,4036,0.0,0,0,0,1.0,0.0
0,0,0.0,3269,0,0,0,0,0,3543,0,0.0,0,0,0,0,0.0,0,85,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,8744,1.0,0,0,0,0.0,0.0
0,0,0.0,7018,0,0,0,0,0,9337,0,1.0,0,0,0,0,0.0,0,58,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2018.0,0.0,1,0,0,0,4728,0.0,1,0,0,0.0,0.0
0,0,0.0,3815,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,86,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,3808,1.0,0,0,0,0.0,0.0
0,0,0.0,8310,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,87,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,4544,1.0,1,0,1,0.0,0.0
0,0,0.0,2064,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,106,0,0,0.0,0.0,1,1.0,0,0.0,0,0,2011.0,0.0,0,0,0,0,5560,0.0,0,0,0,0.0,0.0
0,0,0.0,2383,0,0,0,0,0,1856,0,0.0,0,0,0,0,1.0,0,99,1,0,0.0,0.0,1,0.0,0,0.0,0,1,2016.0,0.0,0,0,0,0,7089,0.0,0,0,0,0.0,0.0
0,0,0.0,4971,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,110,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,5699,0.0,0,0,0,0.0,0.0
0,0,0.0,4508,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,88,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,7881,0.0,0,0,0,0.0,0.0
0,0,0.0,6091,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,84,0,0,0.0,0.0,0,0.0,0,0.0,0,1,2015.0,1.0,0,0,0,0,7282,0.0,0,0,0,0.0,0.0
0,1,0.0,6188,0,0,0,0,0,6044,0,0.0,0,0,0,0,1.0,0,87,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,1,0,0,2068,0.0,0,0,0,0.0,0.0
0,0,0.0,5861,0,0,0,0,1,9337,0,0.0,0,0,0,0,0.0,0,96,0,0,0.0,0.0,0,1.0,0,0.0,0,1,2013.0,0.0,0,0,0,0,1783,0.0,0,0,0,0.0,0.0
0,0,0.0,3570,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,106,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,1992,0.0,0,0,0,0.0,0.0
0,0,0.0,8956,0,0,0,0,0,4655,0,0.0,0,0,0,0,0.0,0,106,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,0,0,4541,0.0,0,0,0,1.0,0.0
0,0,0.0,7685,0,0,0,0,0,6044,0,0.0,0,0,0,0,0.0,0,127,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2011.0,0.0,0,0,0,0,4470,0.0,0,0,0,0.0,0.0
0,0,0.0,1056,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,90,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2021.0,0.0,0,0,0,0,7805,0.0,0,0,0,0.0,0.0
0,0,0.0,8626,0,0,0,0,0,8646,0,0.0,0,0,0,0,0.0,0,93,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2012.0,0.0,1,0,0,0,1064,0.0,0,0,0,0.0,0.0
0,0,0.0,1213,1,0,0,0,0,1196,0,0.0,0,0,0,0,0.0,0,85,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,3147,0.0,0,0,0,0.0,0.0
0,0,0.0,7271,0,0,0,0,0,7694,0,0.0,0,0,0,0,0.0,0,88,0,0,0.0,0.0,0,0.0,1,0.0,0,0,2018.0,0.0,0,0,0,0,1878,1.0,0,0,0,0.0,0.0
0,0,0.0,9572,0,0,0,0,0,3543,0,0.0,0,0,0,0,0.0,0,90,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2009.0,0.0,0,0,0,0,1379,0.0,0,0,0,0.0,0.0
0,0,0.0,4213,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,95,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,4780,0.0,0,0,0,0.0,0.0
0,0,0.0,6531,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,103,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,5278,0.0,0,0,0,0.0,0.0
0,0,0.0,5555,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,120,0,0,0.0,0.0,0,1.0,0,0.0,0,1,1976.0,0.0,0,0,0,0,8620,0.0,0,0,0,0.0,0.0
0,1,0.0,3561,0,0,0,0,0,9337,1,0.0,0,0,0,0,0.0,0,100,0,0,0.0,0.0,0,1.0,0,0.0,0,1,1982.0,0.0,0,0,0,0,9755,0.0,0,0,0,0.0,0.0
0,0,0.0,7549,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,91,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,2896,1.0,0,1,0,0.0,0.0
0,0,0.0,4336,0,0,0,0,0,9337,1,0.0,0,0,0,1,0.0,0,91,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,4649,1.0,0,0,0,0.0,0.0
0,0,0.0,8924,0,0,0,0,1,9337,0,0.0,0,0,0,0,0.0,0,88,0,0,0.0,0.0,1,1.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,6921,0.0,0,0,0,0.0,0.0
0,0,0.0,2974,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,100,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2002.0,0.0,0,0,0,0,3909,0.0,0,0,0,0.0,0.0
0,0,0.0,6747,0,0,0,0,0,3543,0,0.0,0,0,0,0,0.0,0,51,0,0,0.0,0.0,0,0.0,0,0.0,1,0,2020.0,0.0,1,0,0,0,4128,1.0,0,0,0,0.0,0.0
0,0,0.0,5541,0,0,0,0,0,7969,0,0.0,0,0,0,0,0.0,0,95,0,1,0.0,0.0,0,1.0,0,0.0,0,0,2001.0,0.0,0,0,0,0,4325,0.0,0,0,0,0.0,0.0
0,0,0.0,6010,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,90,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,4461,1.0,0,0,0,0.0,0.0
0,0,0.0,9544,0,0,0,0,0,3543,1,0.0,0,0,0,0,0.0,0,85,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,3530,0.0,0,0,1,0.0,0.0
0,1,0.0,5734,0,0,0,0,0,7694,0,0.0,0,0,0,0,0.0,0,85,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2015.0,0.0,1,0,0,0,1479,0.0,0,0,0,0.0,0.0
0,0,0.0,6498,0,0,0,0,0,9337,1,0.0,0,0,0,0,0.0,0,43,0,0,1.0,0.0,0,0.0,0,0.0,0,0,2012.0,0.0,1,0,0,0,4557,0.0,0,0,0,0.0,0.0
0,0,0.0,6740,0,0,0,0,0,3543,0,0.0,0,0,0,0,0.0,0,115,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2020.0,0.0,1,0,0,0,5262,0.0,1,0,0,0.0,0.0
0,0,0.0,9261,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,90,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2009.0,0.0,0,0,0,0,1179,0.0,0,0,0,0.0,0.0
0,0,0.0,9812,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,91,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,8765,0.0,0,0,0,0.0,0.0
0,0,0.0,1722,0,0,0,0,0,9337,0,0.0,1,0,0,0,0.0,0,106,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,3442,0.0,0,0,0,0.0,0.0
0,0,0.0,3614,0,0,0,0,0,9337,0,1.0,0,0,0,0,0.0,0,70,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,8928,0.0,0,0,0,0.0,0.0
0,0,0.0,1034,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,101,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2005.0,0.0,0,0,0,0,8597,0.0,0,0,0,0.0,0.0
0,0,0.0,4390,0,0,0,0,0,5288,0,1.0,0,0,0,0,0.0,0,87,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2010.0,0.0,0,0,0,0,2911,0.0,0,0,1,0.0,0.0
0,0,0.0,2712,0,0,0,0,0,3543,0,0.0,0,0,0,0,0.0,0,47,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2011.0,0.0,0,0,0,0,7426,1.0,0,0,0,0.0,0.0
0,0,0.0,2230,0,0,0,0,0,3543,0,0.0,0,0,0,0,0.0,0,92,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2011.0,0.0,1,0,0,0,1927,1.0,0,0,2,0.0,0.0
0,0,0.0,9113,0,0,0,0,0,4655,0,0.0,0,0,0,0,0.0,0,98,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,5315,0.0,0,0,0,0.0,0.0
0,0,0.0,1984,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,106,0,0,0.0,0.0,1,1.0,0,0.0,0,0,2011.0,0.0,0,0,0,0,5560,0.0,0,0,0,0.0,0.0
0,0,0.0,2940,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,91,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,4104,0.0,0,0,0,0.0,0.0
0,0,0.0,3590,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,93,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2012.0,0.0,0,0,0,0,3609,0.0,0,0,0,0.0,0.0
0,0,0.0,2604,0,0,0,0,0,6044,0,0.0,0,0,0,0,0.0,0,100,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2013.0,0.0,1,0,0,0,3230,0.0,1,0,0,0.0,0.0
0,0,0.0,3293,0,0,0,0,0,9337,0,0.0,0,0,0,0,1.0,0,100,0,0,0.0,0.0,0,0.0,0,0.0,0,0,1971.0,0.0,0,0,0,0,6689,0.0,0,0,0,0.0,0.0
0,0,0.0,5495,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,96,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2012.0,0.0,1,0,0,0,6720,0.0,0,0,0,0.0,0.0
0,0,0.0,5524,0,0,0,0,0,3543,1,0.0,0,0,0,0,0.0,0,85,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,0,0,4180,1.0,0,0,0,0.0,0.0
0,0,0.0,7564,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,107,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2012.0,0.0,0,0,0,0,8868,0.0,0,0,0,0.0,0.0
0,0,0.0,6229,0,0,0,0,0,7763,0,1.0,0,0,0,0,0.0,0,74,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,7781,0.0,0,0,0,0.0,0.0
0,0,0.0,8972,0,0,0,0,0,5288,0,0.0,0,0,0,0,0.0,0,108,0,0,0.0,0.0,0,1.0,0,0.0,0,1,2009.0,0.0,0,0,0,0,4184,0.0,0,0,0,0.0,0.0
0,0,0.0,5188,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,93,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2012.0,0.0,1,0,0,0,1064,0.0,0,0,0,0.0,0.0
0,0,0.0,4127,0,0,0,0,0,3543,1,0.0,0,0,0,0,0.0,0,86,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,1142,1.0,1,0,0,0.0,0.0
0,0,0.0,8924,0,0,0,0,1,9337,0,0.0,0,0,0,0,0.0,0,88,0,0,0.0,0.0,1,1.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,6921,0.0,0,0,0,0.0,0.0
0,0,0.0,2663,0,0,0,0,0,1325,0,0.0,0,0,0,0,0.0,1,90,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,6895,1.0,0,0,0,0.0,0.0
0,0,0.0,4629,0,0,0,0,0,9337,0,0.0,0,1,0,0,0.0,0,25,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,5568,1.0,0,0,0,0.0,0.0
0,0,0.0,6259,0,0,0,0,0,9337,1,0.0,0,0,0,0,0.0,0,119,0,0,0.0,0.0,0,1.0,0,0.0,0,0,1984.0,0.0,0,0,0,0,1660,0.0,0,0,0,0.0,0.0
0,1,0.0,6192,0,0,0,0,0,8040,0,0.0,0,0,0,0,1.0,0,87,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,1,0,0,2068,0.0,0,0,0,0.0,0.0
0,0,0.0,1182,0,0,0,0,0,7969,0,0.0,0,0,0,0,0.0,0,82,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2010.0,0.0,0,0,0,0,3377,0.0,0,0,0,0.0,0.0
0,0,0.0,3639,0,0,0,0,0,3543,0,0.0,0,0,0,0,0.0,0,89,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2017.0,1.0,0,0,0,0,5128,0.0,0,0,0,0.0,0.0
