help,rating_R,cast,little,finds,time,high,high,family,father,country,young,rating_TV-G,love,love,woman,rating_NR,duration,life,life,rating_TV-MA,teen,rating_PG,old,series,rating_TV-Y,release_year,rating_TV-14,new,school,movie,type,director,rating_TV-PG,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0.0,8096,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0.0,139,0,0,0.0,0,0.0,0,0,0.0,2014.0,0.0,0,0,0,0,8801,0.0,0,0,0,0.0,1.0
0,0.0,3974,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,150,0,0,0.0,0,0.0,0,0,0.0,2012.0,0.0,0,0,0,0,1660,0.0,0,0,0,0.0,1.0
0,1.0,7889,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,103,0,0,0.0,0,0.0,0,0,0.0,2016.0,0.0,1,0,0,0,4008,0.0,0,0,0,0.0,0.0
0,0.0,7845,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0.0,87,0,0,0.0,0,0.0,0,0,0.0,2016.0,0.0,0,0,0,0,1380,1.0,0,0,0,0.0,0.0
0,1.0,1113,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,91,0,0,0.0,0,0.0,0,0,0.0,2015.0,0.0,0,0,0,0,3120,0.0,0,0,0,0.0,0.0
0,0.0,7432,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,97,0,0,1.0,0,0.0,0,0,0.0,2018.0,0.0,0,0,0,0,7836,0.0,0,0,0,0.0,0.0
0,0.0,8253,0,0,0,0,0,0,0,9337,1,0.0,0,0,0,0.0,117,0,0,0.0,0,0.0,0,0,0.0,2015.0,0.0,0,0,0,0,8515,0.0,0,0,0,0.0,1.0
0,0.0,1420,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,108,0,0,0.0,0,1.0,0,0,0.0,2009.0,0.0,0,0,0,0,4184,0.0,0,0,0,0.0,0.0
0,0.0,3856,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,97,0,0,0.0,0,0.0,0,0,0.0,2016.0,0.0,0,0,0,0,6617,0.0,0,0,0,0.0,1.0
0,0.0,4157,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,105,0,0,0.0,0,0.0,0,0,0.0,2018.0,0.0,0,0,0,0,2620,0.0,0,0,0,0.0,1.0
0,1.0,6270,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0.0,123,0,0,0.0,0,0.0,0,0,0.0,2013.0,0.0,0,0,0,0,4967,0.0,0,0,0,0.0,0.0
0,1.0,6393,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,105,0,0,0.0,0,0.0,0,0,0.0,2015.0,0.0,0,0,0,0,8205,0.0,0,0,0,0.0,0.0
0,0.0,3995,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,106,0,0,0.0,0,0.0,0,0,0.0,1999.0,0.0,0,0,0,0,9907,0.0,0,0,0,0.0,1.0
0,0.0,9856,0,0,0,0,0,0,0,5288,0,0.0,0,0,0,0.0,128,0,0,0.0,0,0.0,0,0,0.0,2009.0,0.0,0,0,0,0,1675,0.0,0,0,0,0.0,1.0
0,0.0,1914,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,96,0,0,0.0,0,0.0,0,0,0.0,2015.0,0.0,0,0,0,0,3967,0.0,0,0,0,0.0,1.0
0,1.0,5718,0,1,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,97,0,0,0.0,0,0.0,0,0,0.0,2010.0,0.0,0,0,0,0,7121,0.0,0,0,0,0.0,0.0
0,1.0,3457,0,0,0,0,0,0,0,3543,0,0.0,0,0,0,0.0,112,0,0,0.0,0,0.0,0,0,0.0,2009.0,0.0,0,0,0,0,5134,0.0,0,0,0,0.0,0.0
0,0.0,2397,0,0,0,0,0,0,0,1680,0,0.0,0,0,0,0.0,110,0,0,1.0,0,0.0,0,0,0.0,2016.0,0.0,0,0,0,0,6906,0.0,0,0,0,0.0,0.0
0,0.0,3356,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,95,0,0,1.0,0,0.0,0,0,0.0,2016.0,0.0,0,0,0,0,6487,0.0,0,0,0,0.0,0.0
0,1.0,2055,0,1,0,0,0,0,0,3543,0,0.0,0,0,0,0.0,97,0,0,0.0,0,0.0,0,0,0.0,2010.0,0.0,0,0,0,0,7121,0.0,0,0,0,0.0,0.0
0,0.0,5104,0,1,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,109,0,0,0.0,0,0.0,1,0,0.0,2009.0,0.0,0,0,0,0,8796,0.0,0,0,0,0.0,1.0
0,0.0,8179,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,110,0,0,0.0,0,0.0,0,0,0.0,2003.0,0.0,0,0,0,0,9096,0.0,0,0,0,0.0,1.0
0,1.0,7797,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,88,0,0,0.0,0,0.0,0,0,0.0,2015.0,0.0,0,0,0,0,2309,0.0,0,0,0,0.0,0.0
0,0.0,1215,0,0,0,0,0,0,0,3325,0,0.0,0,0,0,0.0,107,0,0,0.0,0,0.0,0,0,0.0,2016.0,0.0,0,0,0,0,9037,0.0,0,0,0,0.0,1.0
0,0.0,7984,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,96,0,0,0.0,0,0.0,0,0,0.0,2017.0,0.0,0,0,0,0,1421,0.0,0,0,0,0.0,1.0
0,0.0,3590,0,0,0,0,0,0,0,5288,0,0.0,0,0,0,0.0,123,0,0,1.0,0,0.0,0,0,0.0,2013.0,0.0,0,0,0,0,3740,0.0,0,0,0,0.0,0.0
0,1.0,9318,0,0,0,0,0,0,0,3543,0,0.0,0,0,0,0.0,89,0,0,0.0,0,0.0,0,0,0.0,2012.0,0.0,1,0,0,0,7107,0.0,0,0,0,0.0,0.0
