help,rating_R,cast,little,finds,house,high,high,family,father,country,young,love,love,rating_TV-G,woman,american,home,rating_G,duration,black,life,life,rating_TV-MA,rating_PG,rating_UR,series,rating_TV-Y,world,world,release_year,rating_TV-14,school,movie,type,group,director,rating_TV-PG,christmas,girl,girl,rating_TV-Y7,rating_PG-13
0,1.0,8453,0,0,0,0,0,0,0,8361,0,0,0,0.0,0,0,0,0.0,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,8512,0.0,0,0,0,0.0,0.0
0,0.0,9157,0,0,0,0,0,0,0,1723,0,0,0,0.0,0,0,0,0.0,125,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2009.0,0.0,0,0,0,0,6393,0.0,0,0,0,0.0,0.0
0,0.0,6667,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,116,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2002.0,0.0,0,0,0,0,8617,0.0,0,0,0,0.0,1.0
0,0.0,8595,0,0,0,0,0,0,0,9337,1,0,0,0.0,0,0,1,0.0,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2015.0,0.0,0,0,0,0,7486,0.0,0,0,0,0.0,0.0
0,0.0,6661,0,0,0,0,0,0,0,1325,0,0,0,0.0,0,0,0,0.0,133,0,0,0,0.17782568699429646,0.0,0.0,0,0.0,0,0,2012.9330458780341,0.8221743130057035,0,0,0,0,3554,0.0,0,0,0,0.0,0.0
0,0.0,7759,0,0,0,0,0,0,0,1325,0,0,0,0.0,0,0,0,0.0,101,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2013.1288347161026,1.0,0,0,0,0,7413,0.0,0,0,0,0.0,0.0
0,0.49251207066194447,5683,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,102,0,0,0,0.5074879293380555,0.0,0.0,0,0.0,0,0,2017.4925120706619,0.0,0,0,0,0,9465,0.0,0,0,0,0.0,0.0
0,0.5313383728336708,1210,0,0,0,0,0,0,0,7651,0,0,0,0.0,0,0,0,0.0,114,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2004.6538639334908,0.4686616271663292,0,0,0,0,3336,0.0,0,0,0,0.0,0.0
0,0.0,1418,0,0,0,0,0,0,0,4882,0,0,0,0.0,0,0,0,0.0,88,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,6218,0.0,0,0,0,0.0,0.0
0,0.0,5285,0,0,0,0,0,0,0,1325,0,0,0,0.0,1,0,0,0.0,130,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2014.0,1.0,0,0,0,0,8326,0.0,0,0,0,0.0,0.0
0,1.0,8265,0,0,0,0,0,0,0,5288,0,0,0,0.0,0,0,1,0.0,105,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,3192,0.0,0,0,0,0.0,0.0
0,0.44018548123138546,6823,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,105,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2014.5598145187687,0.0,0,0,0,0,8513,0.0,0,0,0,0.0,0.5598145187686145
0,0.19394336486557118,5037,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,92,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2016.4484530810755,0.8060566351344288,0,0,0,0,7086,0.0,0,0,0,0.0,0.0
