help,rating_R,cast,little,finds,house,high,high,family,father,country,young,love,love,rating_TV-G,woman,american,home,rating_G,duration,black,life,life,rating_TV-MA,rating_PG,rating_UR,series,rating_TV-Y,world,world,release_year,rating_TV-14,school,movie,type,group,director,rating_TV-PG,christmas,girl,girl,rating_TV-Y7,rating_PG-13
1,0.0,5434,0,0,0,0,0,0,0,3654,0,0,0,0.0,0,0,0,0.0,108,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2018.0,1.0,0,0,0,0,4257,0.0,0,0,0,0.0,0.0
0,0.1485516281912198,9263,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,123,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2005.594206512765,0.0,0,0,0,0,9743,0.0,0,0,0,0.0,0.8514483718087802
0,0.0,9490,0,0,0,0,0,1,0,6692,1,0,0,0.0,1,0,0,0.0,119,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2021.0,0.0,0,0,0,0,5045,0.0,0,0,0,0.0,0.0
0,0.0,4083,0,0,0,0,0,0,0,5057,0,0,0,0.0,0,0,0,0.0,77,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,7311,0.0,0,0,0,0.0,0.0
0,0.5767618399194627,2738,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,92,0,0,0,0.4232381600805373,0.0,0.0,0,0.0,0,0,2015.7676183991946,0.0,0,0,0,0,9631,0.0,0,0,0,0.0,0.0
0,0.0,5461,0,0,0,0,0,0,0,1325,1,0,0,0.0,1,0,1,0.0,121,0,0,1,1.0,0.0,0.0,0,0.0,0,0,2021.0,0.0,0,0,0,0,5667,0.0,0,0,0,0.0,0.0
0,0.0,1103,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,116,0,0,0,0.0,1.0,0.0,0,0.0,0,0,1978.0,0.0,0,0,0,0,2050,0.0,0,0,0,0.0,0.0
0,0.0,3431,0,0,0,0,0,0,0,1723,0,0,0,0.0,0,0,0,0.0,101,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2021.0,0.0,1,0,0,0,1958,0.0,0,0,0,0.0,0.0
0,0.0,7116,0,0,0,0,1,0,0,4096,0,0,0,0.0,0,0,0,0.0,96,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,1322,0.0,0,0,0,0.0,0.0
0,0.0,5749,0,0,0,0,1,0,0,1325,0,0,0,0.0,0,0,0,0.0,91,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,3903,0.0,0,0,0,0.0,0.0
0,0.0,6573,0,0,0,0,0,1,0,1325,1,0,0,0.0,0,0,1,0.0,99,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2017.0,1.0,0,0,0,0,2335,0.0,0,0,0,0.0,0.0
0,0.0,9614,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,115,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2015.932637038145,0.0,0,0,0,0,6656,0.0,0,0,0,0.0,1.0
0,0.0,3039,0,0,0,0,0,0,0,9337,0,1,0,0.0,0,0,0,0.0,87,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2019.0,1.0,0,0,0,0,4764,0.0,0,0,0,0.0,0.0
0,1.0,9666,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,95,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1993.8901013881414,0.0,0,0,0,0,6771,0.0,0,0,0,0.0,0.0
0,0.5868859663414088,5409,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,91,0,0,0,0.0,0.41311403365859123,0.0,0,0.0,0,0,2008.6295175624384,0.0,0,0,0,0,4372,0.0,0,0,0,0.0,0.0
0,0.0,7362,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,95,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,4861,0.0,0,0,0,0.0,1.0
1,0.0,4184,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,141,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1993.0,0.0,0,0,0,0,9401,0.0,0,0,0,0.0,1.0
0,0.0,8091,0,0,0,0,0,0,0,4096,0,0,0,0.0,0,0,0,0.0,119,0,0,0,0.0,0.0,0.0,0,0.0,0,1,2020.0,1.0,0,0,0,0,7744,0.0,0,0,0,0.0,0.0
0,0.0,6312,0,0,0,0,0,0,0,4089,0,0,0,0.0,0,0,0,0.0,108,0,0,0,0.04125817291473466,0.0,0.0,0,0.0,0,0,2017.9587418270853,0.0,0,0,0,0,2842,0.9587418270852653,0,0,0,0.0,0.0
0,0.0,8541,0,0,0,0,0,0,0,1325,0,0,0,0.0,0,0,0,0.0,148,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2007.0,1.0,0,0,0,0,8866,0.0,0,0,0,0.0,0.0
0,0.0,2099,0,0,0,0,0,0,0,3325,0,0,0,0.0,0,0,0,0.0,97,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,4666,0.0,0,0,0,0.0,1.0
0,0.0,5252,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,93,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2015.603447592956,1.0,0,0,0,0,3742,0.0,0,0,0,0.0,0.0
0,0.0,2368,0,0,0,0,0,0,0,5288,0,0,0,0.0,0,0,0,0.0,118,0,0,0,0.19484123438347434,0.0,0.0,0,0.0,0,0,2012.7535711094513,0.0,0,0,0,0,6689,0.0,0,0,0,0.0,0.8051587656165257
0,0.0,3494,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,96,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2018.0,1.0,0,0,0,0,4542,0.0,0,0,0,0.0,0.0
0,0.0,1418,0,0,0,0,0,0,0,5057,0,0,0,0.0,0,0,0,0.0,88,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,5858,0.0,0,0,0,0.0,0.0
0,0.0,5459,0,0,0,0,0,0,0,1325,1,0,0,0.0,1,0,1,0.0,121,0,0,1,1.0,0.0,0.0,0,0.0,0,0,2021.0,0.0,0,0,0,0,2216,0.0,0,0,0,0.0,0.0
