help,rating_R,cast,little,finds,house,high,high,family,father,country,young,love,love,rating_TV-G,woman,american,home,rating_G,duration,black,life,life,rating_TV-MA,rating_PG,rating_UR,series,rating_TV-Y,world,world,release_year,rating_TV-14,school,movie,type,group,director,rating_TV-PG,christmas,girl,girl,rating_TV-Y7,rating_PG-13
0,1.0,9082,0,0,0,0,0,1,0,9337,0,0,0,0.0,0,0,1,0.0,113,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2008.0,0.0,0,0,0,0,7872,0.0,0,0,0,0.0,0.0
0,0.0,7252,0,0,0,0,0,0,0,9753,0,0,0,0.0,0,0,0,0.0,117,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,6626,0.0,0,0,0,0.0,0.0
0,0.0,8131,0,0,0,0,0,0,0,1772,0,0,0,0.0,0,0,0,0.0,101,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,1468,0.0,0,0,0,0.0,0.0
0,1.0,3751,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,84,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2003.0,0.0,0,0,0,0,4168,0.0,0,0,0,0.0,0.0
0,1.0,3391,0,0,0,0,0,0,0,5288,1,0,0,0.0,0,0,0,0.0,113,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2007.0,0.0,0,0,0,0,1106,0.0,0,0,0,0.0,0.0
0,1.0,2956,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,104,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2020.0,0.0,0,0,0,0,5138,0.0,0,0,0,0.0,0.0
0,1.0,4450,0,0,0,0,0,0,0,3944,0,0,0,0.0,0,0,0,0.0,105,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1992.0,0.0,0,0,0,0,6538,0.0,0,0,0,0.0,0.0
0,0.0,6272,0,0,0,0,0,0,0,6044,1,0,0,0.0,1,0,0,0.0,127,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2009.0,0.0,0,0,0,0,9126,0.0,0,0,0,0.0,1.0
0,0.0,1638,0,0,0,0,0,0,0,6044,0,0,0,0.0,0,0,0,0.0,88,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,3039,0.0,0,0,0,0.0,0.0
0,1.0,7164,0,0,0,0,0,0,0,7694,0,0,0,0.0,0,0,0,0.0,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2013.0,0.0,0,0,0,0,2563,0.0,0,0,0,0.0,0.0
0,0.0,9777,0,0,0,0,0,0,0,6044,0,0,0,0.0,1,0,0,0.0,84,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2016.0,1.0,0,0,0,0,6203,0.0,0,0,0,0.0,0.0
0,1.0,1761,0,0,0,0,0,0,0,9337,0,0,0,0.0,1,0,0,0.0,108,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,9831,0.0,0,0,0,0.0,0.0
0,1.0,7709,0,0,0,0,0,0,0,8646,0,0,0,0.0,0,0,0,0.0,125,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,4235,0.0,0,0,0,0.0,0.0
0,0.0,8680,0,0,0,0,0,0,0,6044,0,0,0,0.0,0,0,0,0.0,111,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,8536,0.0,0,0,0,0.0,0.0
0,1.0,4643,0,0,0,0,0,0,0,6044,0,0,0,0.0,0,0,0,0.0,91,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,7158,0.0,0,0,0,0.0,0.0
0,1.0,7484,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,97,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2012.0,0.0,0,0,0,0,4563,0.0,0,0,0,0.0,0.0
0,0.0,2421,0,0,0,0,0,0,0,1325,0,0,0,0.0,0,0,0,0.0,128,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2013.0,1.0,0,0,0,1,2406,0.0,0,0,0,0.0,0.0
0,1.0,5386,0,1,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,96,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2015.0,0.0,0,0,0,0,1511,0.0,0,0,0,0.0,0.0
0,1.0,5925,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,127,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1997.0,0.0,0,0,0,0,7247,0.0,0,0,0,0.0,0.0
0,1.0,5765,0,0,0,0,0,0,0,9337,0,0,0,0.0,1,0,0,0.0,116,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2007.0,0.0,0,0,0,0,2267,0.0,0,0,0,0.0,0.0
1,0.0,6839,0,0,0,0,0,0,0,3543,0,0,0,0.0,0,0,0,0.0,130,0,0,0,1.0,0.0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,2193,0.0,0,0,0,0.0,0.0
0,0.0,1550,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,109,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,6680,0.0,0,0,0,0.0,1.0
0,1.0,2120,0,0,0,0,0,0,0,8040,0,0,0,0.0,0,0,1,0.0,93,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,6791,0.0,0,0,0,0.0,0.0
0,1.0,1450,0,0,0,0,0,0,1,9337,0,0,0,0.0,0,0,0,0.0,91,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,1805,0.0,0,0,0,0.0,0.0
0,0.0,1773,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,119,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1997.0,0.0,0,0,0,0,2577,0.0,0,0,0,0.0,1.0
0,0.0,1891,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,101,0,0,0,0.0,0.0,0.0,0,0.0,0,1,1995.0,0.0,0,0,0,0,7121,0.0,0,0,0,0.0,1.0
0,0.0,3765,0,0,0,0,0,0,0,9337,0,0,0,0.0,0,0,0,0.0,108,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2006.0,0.0,0,0,0,0,9961,0.0,0,0,1,0.0,1.0
0,1.0,8560,0,0,0,0,0,0,0,1325,0,0,0,0.0,0,0,0,0.0,89,0,0,0,0.0,0.0,0.0,0,0.0,0,0,2010.0,0.0,0,0,0,0,9440,0.0,0,0,0,0.0,0.0
0,1.0,5441,0,0,0,0,0,0,0,6044,0,0,0,0.0,0,0,0,0.0,120,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1986.0,0.0,0,0,0,0,4540,0.0,0,0,0,0.0,0.0
