help,rating_R,cast,man,man,finds,house,time,high,high,father,country,young,love,love,woman,rating_TV-G,story,rating_NR,home,rating_G,duration,life,life,rating_TV-MA,teen,rating_PG,series,world,world,release_year,rating_TV-14,day,school,movie,type,director,rating_TV-PG,christmas,friends,girl,girl,boy,rating_PG-13
0,0.0,6399,0,0,0,0,0,0,0,0,1856,0,1,1,0,0.0,0,0.0,0,0.0,96,0,0,1.0,0,0.0,0,0,0,2018.0,0.0,0,0,0,0,2699,0.0,0,0,0,0,0,0.0
0,0.0,7280,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.704227093561147,0,0.0,0,0.0,117,0,0,0.0,0,0.0,0,0,0,2014.4788645321942,0.0,0,0,0,0,8123,0.0,0,0,0,0,0,0.295772906438853
0,0.0,9218,0,0,0,0,0,0,0,0,1325,0,0,0,0,0.0,0,0.0,0,0.0,121,0,0,0.381514665567247,0,0.0,0,0,0,2012.0,0.618485334432753,0,0,0,0,8682,0.0,0,0,0,0,0,0.0
0,0.0,6955,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,84,0,0,0.0,0,0.0,0,0,0,2017.0,0.0,0,0,0,0,4036,0.0,0,0,0,0,0,0.0
0,0.0,9532,0,0,0,0,0,0,0,0,1325,0,0,0,0,0.0,0,0.0,0,0.0,118,0,0,0.4746802908250788,0,0.0,0,0,0,2014.4240408724752,0.5253197091749212,0,0,0,0,6704,0.0,0,0,0,0,0,0.0
0,0.0,9159,0,0,0,0,0,0,0,0,3543,0,0,1,0,0.0,0,0.0,0,0.0,100,0,0,0.0,0,1.0,0,0,0,2021.0,0.0,0,0,0,0,8846,0.0,0,0,0,0,0,0.0
0,0.0,4126,0,0,0,0,0,0,0,0,3543,0,0,0,0,0.0,0,0.0,0,0.0,116,0,0,0.0,1,1.0,0,0,0,2007.0,0.0,0,0,0,0,8818,0.0,0,0,0,0,0,0.0
0,0.0,3173,0,0,1,0,0,0,0,0,9337,0,0,1,0,0.0,0,0.0,0,0.0,98,0,0,0.0,1,0.0,0,0,0,2021.0,0.0,0,0,0,0,2795,1.0,0,1,0,0,0,0.0
0,0.0,6692,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,75,0,0,1.0,0,0.0,0,0,0,2018.0,0.0,0,0,0,0,2633,0.0,0,0,0,0,0,0.0
0,0.0,6718,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,87,0,0,0.0,0,0.09106498518836315,0,0,0,2020.8178700296232,0.0,0,0,0,0,4924,0.0,0,0,0,0,0,0.0
0,0.0,4393,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,61,0,0,1.0,0,0.0,0,0,0,2017.2508446464578,0.0,0,0,0,0,3803,0.0,0,0,0,0,0,0.0
0,0.0,4755,0,0,0,0,0,0,0,0,7694,0,0,0,1,0.0,0,0.0,0,0.0,122,0,0,0.0,0,0.0,0,0,0,1993.0,1.0,0,0,0,0,2562,0.0,0,0,0,0,0,0.0
0,0.0,1601,0,1,0,0,0,0,0,0,1325,0,0,0,0,0.0,0,0.0,0,0.0,144,0,0,0.0,0,0.0,0,0,0,2005.0439929762251,0.0,0,0,0,0,3361,1.0,0,0,0,0,0,0.0
0,0.0,9065,0,0,0,0,0,0,0,0,4466,1,0,0,0,0.0,0,0.0,0,0.0,101,0,0,1.0,0,0.0,0,0,0,2010.0,0.0,0,0,0,0,9359,0.0,0,0,0,0,0,0.0
0,0.9585743559183243,5689,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.041425644081675705,0,0.0,0,0.0,101,0,0,0.0,0,0.0,0,0,0,1982.6156001191853,0.0,0,0,0,0,9874,0.0,0,0,0,0,0,0.0
0,0.0,7733,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,134,0,0,0.0,0,0.0,0,0,0,2008.3037085521491,0.0,0,0,0,0,8940,0.0,0,0,0,0,0,1.0
0,0.0,4771,0,0,0,0,0,0,0,0,1325,0,0,0,0,0.0,0,0.0,0,0.0,126,0,0,0.0,0,0.0,0,0,0,2015.0848532583998,1.0,0,0,0,0,3390,0.0,0,0,0,0,0,0.0
0,1.0,6426,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,106,0,0,0.0,0,0.0,0,0,0,2015.0,0.0,0,0,0,0,7924,0.0,0,0,0,1,0,0.0
0,0.0,6020,0,0,0,0,0,0,0,0,1856,0,1,1,0,0.0,0,0.0,0,0.0,96,0,0,1.0,0,0.0,0,0,0,2018.0,0.0,0,0,0,0,2699,0.0,0,0,0,0,0,0.0
0,0.0,1280,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,105,0,0,0.2650625848506639,0,0.0,0,0,0,2020.4698748302987,0.0,0,0,0,0,4626,0.0,0,0,0,0,0,0.0
0,1.0,2778,0,0,0,0,0,0,0,0,5288,0,0,0,0,0.0,0,0.0,0,0.0,94,0,0,0.0,0,0.0,0,0,0,2006.0,0.0,0,0,0,0,2573,0.0,0,0,0,0,0,0.0
0,0.0,1831,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.7489068429359701,110,0,0,0.0,0,0.2510931570640299,0,0,0,1962.5196768271526,0.0,0,0,0,0,6799,0.0,0,0,0,0,0,0.0
0,0.0,4578,0,0,0,0,0,0,1,0,7969,0,0,0,0,0.0,0,0.0,0,0.0,94,0,0,1.0,0,0.0,0,0,1,2016.0,0.0,0,1,0,0,8396,0.0,0,0,0,0,0,0.0
0,0.0,7494,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.5206860618661436,0,0.0,0,0.0,117,0,0,0.0,0,0.0,0,0,0,2015.8758836288032,0.47931393813385637,0,0,0,0,8149,0.0,0,0,0,0,0,0.0
0,0.0,9241,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,89,0,0,0.9714076542163368,0,0.0,0,0,0,2020.9714076542164,0.0,0,0,0,0,5663,0.0,0,0,0,0,0,0.02859234578366321
0,0.0,7784,0,0,0,0,0,0,0,0,3543,0,0,1,0,0.0,0,0.0,0,0.0,100,0,0,0.0,0,1.0,0,0,0,2021.0,0.0,0,0,0,0,8846,0.0,0,0,0,0,0,0.0
0,0.0,9320,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.9511788336458167,113,0,0,0.0,0,0.0,0,0,0,1960.9780911476053,0.0,0,0,0,0,6742,0.0,0,0,0,0,0,0.04882116635418332
0,0.3556988061137726,5495,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,110,0,0,0.6443011938862274,0,0.0,0,0,0,2005.4834453676767,0.0,0,0,0,0,9839,0.0,0,0,0,0,0,0.0
1,0.0,5615,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,131,0,0,0.0,0,1.0,0,0,1,2018.0,0.0,0,0,0,0,3149,0.0,0,0,0,0,0,0.0
0,0.0,1180,0,0,0,0,0,1,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,104,0,0,0.0,0,0.0,0,0,0,2019.0,1.0,0,0,0,0,8227,0.0,0,0,0,0,0,0.0
0,0.0,9250,0,0,0,0,0,0,0,0,3325,0,0,0,0,0.0,0,0.0,0,0.0,100,0,0,0.0,0,1.0,0,0,0,2020.0,0.0,0,0,0,0,5403,0.0,0,0,0,0,0,0.0
