help,rating_R,cast,finds,man,man,high,high,family,father,country,young,love,love,woman,story,home,rating_G,king,duration,black,life,life,rating_TV-MA,rating_PG,series,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,rating_TV-PG,christmas,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0.0,1624,0,0,0,0,0,0,0,5028,0,0,0,0,0,0,0.0,0,119,0,0,0,0.40945505488305967,0.0,0,0,0,2009.9134606585967,0.0,0,1,0,0,0,2241,0.0,0,0,0,0,0.0,0.5905449451169403
0,0.0,3999,0,0,0,0,0,0,0,1325,0,0,0,0,0,0,0.0,0,129,0,0,1,0.0,0.0,0,0,0,2016.0,1.0,0,0,0,0,0,2172,0.0,0,0,0,0,0.0,0.0
0,0.0,5726,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,93,0,0,0,0.0,0.0,0,0,0,1991.0,0.0,0,0,0,0,0,5691,1.0,0,0,0,0,0.0,0.0
0,0.0,7647,0,0,0,0,0,0,0,6557,0,0,0,0,0,0,0.0,0,92,0,0,0,1.0,0.0,0,0,0,2019.7583869619536,0.0,0,0,0,0,0,7417,0.0,0,0,0,0,0.0,0.0
0,0.0,6499,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,107,0,0,0,0.5483576866572049,0.0,0,0,0,2008.0638691064585,0.0,0,0,0,0,0,2494,0.0,0,0,0,0,0.0,0.45164231334279514
0,0.0,5242,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,94,0,0,0,1.0,0.0,0,0,0,2018.0,0.0,0,0,0,0,0,7913,0.0,0,0,0,0,0.0,0.0
0,0.0,7326,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,52,0,0,0,0.0,0.0,0,0,1,2021.0,1.0,0,0,0,0,0,6830,0.0,0,0,0,0,0.0,0.0
0,0.0,3496,0,0,0,0,0,0,0,6247,0,0,0,0,0,0,0.0,0,99,0,0,0,0.0,0.0,0,0,0,2012.6571912974007,1.0,0,0,0,0,0,1191,0.0,0,0,0,0,0.0,0.0
0,0.08940643098346202,9053,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,87,0,0,0,0.0,0.0,0,0,0,2008.7152514478678,0.0,0,0,0,0,0,7239,0.0,0,0,0,0,0.0,0.910593569016538
0,0.11988248593490158,6079,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,127,0,0,0,0.0,0.8801175140650984,0,0,0,2016.1198824859348,0.0,0,0,0,0,0,9001,0.0,0,0,0,0,0.0,0.0
0,0.9148691771684382,2280,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,118,0,0,0,0.08513082283156181,0.0,0,0,0,1977.7457562045888,0.0,0,0,0,0,0,1070,0.0,0,0,0,0,0.0,0.0
0,0.2796062705242839,1254,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,96,0,0,0,0.0,0.0,0,0,0,1998.2697630336313,0.0,0,0,0,0,0,5637,0.7203937294757161,0,0,0,0,0.0,0.0
