help,rating_R,cast,little,finds,high,high,family,father,country,young,love,love,woman,story,american,king,duration,black,life,life,rating_TV-Y7-FV,rating_TV-MA,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,rating_TV-PG,christmas,girl,girl,rating_TV-Y7,rating_PG-13
0,0.0,6506,0,0,0,0,0,0,6304,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,2013.4731359618954,1.0,0,0,0,1,0,1887,0.0,0,0,0,0.0,0.0
0,0.0,8147,0,0,0,0,0,0,6044,0,0,0,0,0,0,0,1,0,0,1,0.0,1.0,0.0,0,1,0.0,0,1,2021.0,0.0,0,0,0,1,0,3995,0.0,0,0,0,0.0,0.0
0,0.0,4556,0,0,0,0,0,0,6044,1,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,0,1,0,9459,0.0,0,0,0,0.0,0.0
0,0.0,6702,0,0,0,0,0,0,1325,0,0,0,0,0,0,0,1,0,0,0,0.0,0.5919149778829786,0.0,0,0,0.0,0,0,2017.367659911532,0.40808502211702136,0,0,0,1,0,8730,0.0,0,0,0,0.0,0.0
0,0.0,9287,0,0,0,0,0,0,6044,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0.0,0,1,2019.0,0.0,0,0,0,1,1,2545,1.0,0,0,0,0.0,0.0
0,0.0,9593,0,1,0,0,0,0,3325,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,2016.0,1.0,0,0,0,1,0,5344,0.0,0,0,0,0.0,0.0
0,0.0,7371,0,0,0,0,0,0,1325,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,2014.080011481462,1.0,0,0,0,1,0,5453,0.0,0,0,0,0.0,0.0
0,0.0,8857,0,0,0,0,0,0,3325,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,2011.7097630047863,1.0,0,0,0,1,0,9260,0.0,0,0,0,0.0,0.0
0,0.0,9723,0,0,0,0,0,0,7969,1,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,0,1,0,5054,0.0,0,0,0,0.0,0.0
0,0.0,2466,0,0,0,0,0,0,9337,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0,0,0.0,0,0,2017.0,0.0,1,0,0,1,0,6673,0.0,0,0,0,0.0,0.0
