girls,rating_R,cast,man,man,high,high,family,country,young,love,love,woman,rating_TV-G,home,king,duration,life,life,rating_TV-MA,good,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,rating_TV-PG,christmas,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0.0,9561,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2018.0,1.0,0,0,0,1,0,8572,0.0,0,0,0,0,0.0,0.0
0,0.0,2744,0,0,0,0,0,5397,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2017.0,1.0,0,0,0,1,1,9806,0.0,0,0,0,0,0.0,0.0
0,0.0,2492,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,1,0.0,0,0.0,0,0,0.0,0,0,2016.0,1.0,0,0,0,1,0,4113,0.0,0,0,0,0,0.0,0.0
0,0.0,7389,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,5,0,0,0.0,0,0.0,0,0,0.0,0,0,2010.0,1.0,0,0,0,1,0,9444,0.0,0,0,0,0,0.0,0.0
0,0.0,1886,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2018.0,1.0,0,0,0,1,0,2182,0.0,0,0,0,0,0.0,0.0
0,0.0,7289,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,3,0,0,1.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,1,0,0,1,0,9721,0.0,0,0,0,0,0.0,0.0
0,0.0,9589,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,1.0,0,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,0,1,0,8237,0.0,0,0,0,0,0.0,0.0
0,0.0,7250,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,1.0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,0,1,0,6884,0.0,0,0,0,0,0.0,0.0
0,0.0,8075,0,0,0,0,0,9337,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,0,1,0,3027,0.0,0,0,0,0,1.0,0.0
0,0.0,5690,0,0,0,0,0,9337,0,0,0,0,0.0,0,0,1,0,0,1.0,0,0.0,0,0,0.0,0,0,2015.0,0.0,0,0,0,1,0,3211,0.0,0,0,0,0,0.0,0.0
0,0.0,5385,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,1.0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,0,1,0,6671,0.0,0,0,0,1,0.0,0.0
0,0.0,5176,0,0,0,0,0,7603,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2011.0,1.0,0,0,0,1,0,7818,0.0,0,0,0,0,0.0,0.0
