help,rating_R,cast,finds,man,man,high,high,family,father,country,young,love,love,woman,home,duration,life,life,rating_TV-MA,teen,rating_PG,old,series,world,world,release_year,rating_TV-14,new,day,school,type,group,director,rating_TV-PG,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0.0,4592,0,0,0,0,0,0,0,3543,0,0,0,0,0,10,0,0,1.0,0,0.0,0,0,0,0,2006.0,0.0,0,0,0,1,0,2905,0.0,0,0,0,0.0,0.0
0,0.0,6948,0,0,0,0,0,0,0,9337,0,0,0,0,0,10,0,0,0.36433042364613066,0,0.0,0,0,0,0,2004.0929912709385,0.0,0,0,0,1,0,6127,0.6356695763538693,0,0,0,0.0,0.0
0,0.0,3592,0,0,0,0,0,0,0,9337,0,0,0,0,0,2,0,0,0.0,0,0.0,0,0,0,0,2007.0587958182393,0.058795818239379405,0,0,0,1,0,3868,0.0,0,0,0,0.9412041817606206,0.0
0,0.0,4431,0,0,0,0,0,0,0,9337,0,0,0,0,0,10,0,0,0.11507485921270744,0,0.0,0,0,0,0,1995.107021198743,0.0,0,0,0,1,0,4748,0.8849251407872926,0,0,0,0.0,0.0
0,0.0,1547,0,0,0,0,0,0,0,9337,0,0,0,0,0,4,0,0,0.0,0,0.0,0,0,0,0,2007.7126400960992,1.0,0,0,0,1,0,3691,0.0,0,0,0,0.0,0.0
0,0.0,6257,0,0,0,0,0,0,0,6044,0,0,0,0,0,9,0,0,0.0,0,0.0,0,0,0,0,1988.2660330780598,0.2747812945868229,0,0,0,1,0,5259,0.7252187054131771,0,0,0,0.0,0.0
0,0.0,9068,0,0,0,0,0,0,0,9337,0,0,0,0,0,2,0,0,0.303377004261263,0,0.0,0,0,0,0,2019.0898689872163,0.696622995738737,0,0,0,1,0,3153,0.0,0,0,0,0.0,0.0
0,0.0,3899,0,0,0,0,0,0,0,5353,0,0,0,0,0,7,0,0,0.0,0,0.0,0,0,0,0,1987.8560177176294,0.0,0,0,0,1,0,8822,1.0,0,0,0,0.0,0.0
0,0.0,2571,0,0,0,0,0,0,0,9337,0,0,0,0,0,4,0,0,0.330043942300576,0,0.0,0,0,0,0,2019.6699560576994,0.669956057699424,0,0,0,1,0,7221,0.0,0,0,0,0.0,0.0
0,0.0,2505,0,0,0,0,0,0,0,9337,0,0,0,0,0,5,0,0,0.0,0,0.0,0,0,0,0,2008.7334778612071,0.5976242093288261,0,0,0,1,0,9628,0.4023757906711739,0,0,0,0.0,0.0
0,0.0,5576,0,0,0,0,0,0,0,6044,0,0,0,0,0,8,0,0,0.05472757225536373,0,0.0,0,0,0,0,2017.8358172832338,0.9452724277446363,0,0,0,1,0,5426,0.0,0,0,0,0.0,0.0
