help,rating_R,cast,finds,man,man,high,high,family,father,country,young,love,love,woman,home,duration,life,life,rating_TV-MA,teen,rating_PG,old,series,world,world,release_year,rating_TV-14,new,day,school,type,group,director,rating_TV-PG,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0.0,5287,0,0,0,0,0,0,0,3944,0,0,1,0,0,1,0,0,0.0,0,0.0,0,1,0,0,2010.0,0.0,0,0,0,1,0,6367,1.0,0,0,0,0.0,0.0
0,0.0,4249,0,0,0,0,0,0,0,1856,1,0,0,0,0,1,0,0,1.0,0,0.0,0,0,0,0,2020.0,0.0,0,0,0,1,1,8267,0.0,0,0,0,0.0,0.0
0,0.0,3342,0,0,0,0,0,0,0,1856,1,0,0,0,0,1,0,0,1.0,0,0.0,0,0,0,0,2020.0,0.0,0,0,0,1,1,3295,0.0,0,0,0,0.0,0.0
0,0.0,1674,0,0,0,0,0,0,0,9337,0,0,0,0,0,5,0,0,1.0,0,0.0,0,0,0,0,2019.0,0.0,0,0,0,1,0,1853,0.0,0,0,0,0.0,0.0
0,0.0,2051,0,0,0,0,0,0,0,1856,1,0,0,0,0,1,0,0,1.0,0,0.0,0,0,0,0,2020.0,0.0,0,0,0,1,1,2558,0.0,0,0,0,0.0,0.0
0,0.0,8252,0,0,0,0,0,0,0,9337,0,0,0,0,0,5,0,0,1.0,0,0.0,0,0,0,0,2017.0,0.0,0,0,0,1,0,2563,0.0,0,0,0,0.0,0.0
0,0.0,8852,0,0,0,0,0,0,0,6044,0,0,0,0,0,5,0,1,1.0,0,0.0,0,0,0,0,2013.0,0.0,1,0,0,1,0,2503,0.0,0,0,0,0.0,0.0
0,0.0,8675,0,0,0,0,0,0,0,9337,0,0,0,0,0,4,0,0,0.0,0,0.0,0,0,0,0,2004.0,1.0,1,0,0,1,0,5109,0.0,0,0,0,0.0,0.0
0,0.0,7433,0,0,0,0,0,0,0,9337,0,0,0,0,0,1,0,0,1.0,0,0.0,0,0,0,0,2019.0,0.0,0,0,0,1,0,1416,0.0,0,0,0,0.0,0.0
0,0.0,1403,0,0,0,0,1,0,0,9337,0,0,0,1,0,2,0,0,0.0,0,0.0,0,0,0,0,2020.0,1.0,0,0,1,1,0,7604,0.0,0,0,0,0.0,0.0
0,0.0,5224,0,0,0,0,0,0,0,3944,0,0,1,0,0,1,0,0,0.0,0,0.0,0,1,0,0,2010.0,0.0,0,0,0,1,0,6202,1.0,0,0,0,0.0,0.0
0,0.0,2655,0,0,0,0,0,0,0,9337,0,0,0,0,0,2,0,0,0.06735621644022483,0,0.0,0,0,0,0,2019.9326437835598,0.9326437835597752,0,0,0,1,0,7311,0.0,0,0,0,0.0,0.0
0,0.0,2039,0,0,0,0,0,0,0,2073,0,0,0,0,0,1,0,0,0.8712010757447117,0,0.0,0,0,0,0,2019.3560053787235,0.12879892425528827,0,0,0,1,0,2316,0.0,0,0,0,0.0,0.0
0,0.0,3040,0,0,0,0,0,0,0,3944,0,0,1,0,0,1,0,0,0.0,0,0.0,0,1,0,0,2010.0,0.0,0,0,0,1,0,7085,1.0,0,0,0,0.0,0.0
0,0.0,8936,0,0,0,0,0,0,0,9337,0,0,0,0,0,3,0,0,1.0,0,0.0,0,1,0,0,2016.0,0.0,0,0,0,1,0,6264,0.0,0,0,0,0.0,0.0
0,0.0,5308,0,0,0,0,0,0,0,3942,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,2010.031892537941,0.0035436153267764947,0,0,0,1,0,4615,0.9964563846732235,0,0,0,0.0,0.0
0,0.0,1654,0,0,0,0,0,0,0,1856,1,0,0,0,0,1,0,0,1.0,0,0.0,0,0,0,0,2020.0,0.0,0,0,0,1,1,8857,0.0,0,0,0,0.0,0.0
0,0.0,2191,0,0,0,0,0,0,0,3944,0,0,1,0,0,1,0,0,0.0,0,0.0,0,1,0,0,2010.0,0.0,0,0,0,1,0,6736,1.0,0,0,0,0.0,0.0
0,0.0,1472,0,0,0,0,0,0,0,3944,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,1979.0,0.0,0,0,0,1,0,8028,1.0,0,0,0,0.0,0.0
0,0.0,8811,0,0,0,0,0,0,0,9337,0,0,0,0,0,3,0,0,1.0,0,0.0,0,1,0,0,2016.0,0.0,0,0,0,1,0,6720,0.0,0,0,0,0.0,0.0
0,0.0,9378,0,0,0,0,0,0,0,9337,0,0,0,0,0,2,0,0,0.0,0,0.0,0,0,0,0,2010.187127399872,1.0,0,0,0,1,0,2808,0.0,0,0,0,0.0,0.0
0,0.0,5232,0,0,0,0,0,0,0,3944,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,1997.698536695386,0.0,0,0,0,1,0,6793,1.0,0,0,0,0.0,0.0
