girls,help,rating_R,cast,man,man,high,high,family,country,young,love,love,rating_NR,woman,rating_G,duration,black,life,life,rating_TV-MA,teen,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0,0.0,4713,0,0,0,0,0,3944,0,0,1,0.0,1,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2016.0,1.0,0,0,0,1,0,1526,0,0,0,0.0,0.0
0,0,0.0,9187,0,0,0,0,0,8040,0,0,0,0.0,0,0.0,5,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2017.0,0.0,0,0,0,1,0,7606,0,0,0,0.0,0.0
0,0,0.0,9777,0,0,0,0,0,4096,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2006.0940530263156,1.0,0,1,0,1,0,2537,0,0,0,0.0,0.0
0,0,0.0,1332,0,0,0,0,0,1325,1,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,1,0,0,1,0,8759,0,0,0,0.0,0.0
0,0,0.0,8258,0,0,0,1,0,4096,0,0,0,0.0,0,0.0,3,0,1,1,0.0,0,0.0,0,0,0.0,0,0,2018.0,1.0,0,1,0,1,0,6771,0,0,0,0.0,0.0
0,0,0.0,7832,0,0,0,0,0,3543,0,0,0,0.0,0,0.0,4,0,0,1,1.0,0,0.0,0,1,0.0,0,0,2010.0,0.0,0,0,0,1,0,5972,0,0,0,0.0,0.0
0,0,0.0,1020,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,1,0.0,0,0,2017.0,0.0,1,0,0,1,0,4640,0,0,0,0.0,0.0
0,0,0.0,9943,0,0,1,1,0,7969,0,0,0,0.0,0,0.0,7,0,0,0,0.0,1,0.0,0,1,0.0,0,0,1999.0,1.0,0,1,0,1,0,5667,0,0,0,0.0,0.0
0,0,0.0,2585,0,0,0,0,0,1325,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2018.0,1.0,0,0,0,1,1,9690,0,0,0,0.0,0.0
0,0,0.0,2846,0,0,0,0,0,1641,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2015.0,1.0,0,0,0,1,0,7632,0,0,0,0.0,0.0
0,0,0.0,3214,0,0,0,0,1,3543,1,0,0,0.0,0,0.0,2,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,1,0,3196,1,0,0,0.0,0.0
0,0,0.0,7333,0,0,0,0,1,9190,1,0,0,0.0,1,0.0,3,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,1,0,8079,0,0,0,0.0,0.0
0,0,0.0,9702,0,0,0,0,0,1325,0,0,0,0.0,1,0.0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,0,2015.0,1.0,0,0,0,1,0,6439,0,0,0,0.0,0.0
0,0,0.0,8540,0,0,0,0,1,3543,1,0,0,0.0,0,0.0,2,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,1,0,3723,1,0,0,0.0,0.0
0,1,0.0,8857,0,0,0,0,0,6044,1,0,0,0.0,1,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,1,2019.0,0.0,0,0,0,1,0,4037,0,0,0,0.0,0.0
0,0,0.0,7967,0,0,0,0,0,1641,0,0,0,0.0,0,0.0,2,0,0,1,0.0,0,0.0,0,0,0.0,0,0,2020.0,1.0,1,0,0,1,0,4901,0,0,0,0.0,0.0
0,0,0.0,7210,0,0,1,1,0,7969,0,0,0,0.0,0,0.0,7,0,0,0,0.0,1,0.0,0,1,0.0,0,0,1999.0,1.0,0,1,0,1,0,4573,0,0,0,0.0,0.0
0,0,0.0,6505,0,0,0,0,0,1325,0,0,0,0.0,0,0.0,1,0,0,0,0.24416758712776943,0,0.0,0,0,0.0,0,0,2018.7325027613833,0.7558324128722306,0,0,0,1,0,1106,0,0,0,0.0,0.0
0,0,0.0,5491,0,0,0,0,0,1468,0,0,0,0.0,0,0.0,2,0,0,0,1.0,0,0.0,0,1,0.0,0,0,2015.0,0.0,0,0,0,1,0,2477,0,0,0,0.0,0.0
0,0,0.0,2755,0,0,0,0,0,1818,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2015.0,0.0,0,0,0,1,0,9190,1,0,0,0.0,0.0
0,0,0.0,8162,0,0,0,0,0,6582,1,0,1,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,0,1,0,2060,0,0,0,0.0,0.0
0,0,0.0,9682,0,0,0,0,1,9337,1,0,0,0.0,1,0.0,3,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,1,0,7173,0,0,0,0.0,0.0
0,1,0.0,1669,0,0,0,0,0,3325,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2012.0,1.0,0,0,0,1,0,9492,0,0,0,0.0,0.0
0,0,0.0,2593,0,0,0,0,0,5397,0,0,0,0.0,0,0.0,1,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2017.0,1.0,0,0,0,1,1,6280,0,0,0,0.0,0.0
0,0,0.0,2981,0,0,0,0,0,6304,0,0,0,0.0,0,0.0,1,0,0,0,0.21418433242866985,0,0.0,0,0,0.0,0,0,2010.4992903270006,0.7858156675713301,0,0,0,1,0,1106,0,0,0,0.0,0.0
1,0,0.0,5827,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,7,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2006.0,1.0,0,0,0,1,0,9045,0,0,0,0.0,0.0
0,0,0.0,9693,0,0,0,0,0,5397,0,0,0,0.0,0,0.0,1,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2017.0,1.0,0,0,0,1,1,2325,0,0,0,0.0,0.0
0,0,0.0,4646,0,0,0,0,1,9337,0,0,0,0.0,0,0.0,2,0,0,0,0.0,1,0.0,0,0,0.0,0,0,2021.0,1.0,0,0,0,1,0,2171,1,0,0,0.0,0.0
0,0,0.0,9299,0,1,0,0,0,4096,0,0,0,0.0,0,0.0,2,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,0,1,0,9714,0,0,0,0.0,0.0
0,0,0.0,3932,0,0,0,0,0,1325,0,0,0,0.0,1,0.0,1,0,0,0,0.537300902742883,0,0.0,0,0,0.0,0,0,2017.1492036109714,0.462699097257117,0,0,0,1,0,5278,0,0,0,0.0,0.0
0,0,0.0,1091,0,1,0,0,0,4466,0,0,0,0.0,0,0.0,1,0,0,1,0.0,0,0.0,0,1,0.0,0,0,2020.0,1.0,0,0,0,1,1,9936,0,0,0,0.0,0.0
0,1,0.0,7537,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,3,0,0,0,1.0,0,0.0,0,1,0.0,0,0,2021.0,0.0,0,0,0,1,1,3390,1,0,0,0.0,0.0
0,0,0.0,7674,0,0,0,0,0,4096,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2008.0,1.0,0,0,0,1,0,6323,0,0,1,0.0,0.0
0,0,0.0,2553,0,0,0,0,1,1818,0,0,0,0.0,0,0.0,2,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2017.0,1.0,0,0,0,1,0,5012,0,0,0,0.0,0.0
0,0,0.0,4844,0,0,0,0,0,3543,1,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,1,0.0,0,0,2018.0,0.0,0,0,0,1,0,9179,0,0,0,0.0,0.0
0,0,0.0,3689,0,1,0,0,0,4466,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2018.0,1.0,0,0,0,1,0,9144,0,0,0,0.0,0.0
0,0,0.0,8923,0,0,0,0,1,6044,0,0,0,0.0,0,0.0,1,0,0,0,0.0,1,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,0,1,0,4044,0,0,0,0.0,0.0
0,0,0.0,3189,0,0,0,0,1,3325,0,0,0,0.0,1,0.0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,0,2016.0,0.0,1,0,0,1,0,6378,0,0,0,0.0,0.0
0,0,0.0,1248,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,1995.847707056772,1.0,0,0,0,1,0,1064,0,0,0,0.0,0.0
0,0,0.0,9426,0,0,0,0,0,5288,0,0,0,0.0,0,0.0,3,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,0,1,0,8364,0,0,0,0.0,0.0
0,0,0.0,7087,0,0,0,0,0,6044,0,0,0,0.0,0,0.0,2,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,0,1,1,5534,0,0,0,0.0,0.0
0,0,0.0,1961,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,2,0,0,0,0.0,0,0.0,0,0,0.0,0,1,2008.0,1.0,0,0,0,1,0,6245,0,0,0,0.0,0.0
0,0,0.0,8994,0,0,0,0,0,3944,0,0,0,0.0,0,0.0,3,0,0,0,1.0,0,0.0,0,1,0.0,0,0,2017.0,0.0,0,0,0,1,0,7274,0,0,0,0.0,0.0
0,0,0.0,1885,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,2,0,0,0,1.0,1,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,0,1,0,4567,1,0,0,0.0,0.0
0,0,0.0,4344,0,1,0,0,0,3654,1,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2016.0,0.0,0,0,0,1,0,5465,0,0,0,0.0,0.0
0,0,0.0,7570,0,0,0,0,1,9337,1,0,0,0.0,1,0.0,3,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,1,0,4294,0,0,0,0.0,0.0
0,0,0.0,7289,0,0,0,0,0,1325,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,0,1,0,7322,0,0,0,0.0,0.0
0,0,0.0,9682,0,0,0,0,0,1818,0,0,0,0.0,0,0.0,2,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2018.0,1.0,0,0,0,1,0,8779,0,0,0,0.0,0.0
0,0,0.0,4490,0,0,0,0,1,9337,0,0,0,0.0,0,0.0,2,0,0,0,0.0,1,0.0,0,0,0.0,0,0,2021.0,1.0,0,0,0,1,0,1138,1,0,0,0.0,0.0
0,0,0.0,4129,0,0,0,0,0,1818,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2015.0,0.0,0,0,0,1,0,9190,1,0,0,0.0,0.0
0,0,0.0,1927,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,5,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2010.0,1.0,1,0,0,1,0,4713,0,0,0,0.0,0.0
