help,rating_R,cast,man,man,little,family,father,country,young,rating_TV-G,rating_NR,love,love,woman,rating_NC-17,american,duration,life,life,rating_TV-MA,teen,rating_PG,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,movie,type,director,rating_TV-PG,christmas,friends,rating_TV-Y7,rating_PG-13
0,0.0,9061,0,0,0,0,0,6044,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0.0,0,0.0,0,1.0,0,0,2019.7100793505658,0.0,0,0,1,4022,0.0,0,0,0.0,0.0
0,0.0,9844,0,0,0,0,0,9337,0,0.0,0.0,0,0,0,0.0,0,1,1,0,0.0,0,0.0,1,1.0,0,0,2012.0,0.0,0,0,1,6953,0.0,0,1,0.0,0.0
0,0.0,6681,0,0,0,0,0,6044,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0.0,0,0.0,0,0.3538039060213626,0,0,2019.7076078120426,0.0,0,0,1,2264,0.6461960939786374,0,0,0.0,0.0
0,0.0,9586,0,0,0,0,0,9337,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,2016.4324184059203,0.0,0,0,1,3608,0.0,0,0,1.0,0.0
0,0.0,3126,0,0,0,0,0,3543,0,0.0,0.0,0,0,0,0.0,0,4,0,0,0.0,0,0.0,0,0.0,0,0,2016.9521783491905,0.0,0,0,1,5861,1.0,0,0,0.0,0.0
0,0.0,9300,0,0,0,0,0,9337,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0.0,0,0.0,0,0.9028407580035791,0,0,2015.0971592419965,0.0,0,0,1,3690,0.0,0,0,0.0971592419964209,0.0
0,0.0,5523,0,0,0,0,0,9337,0,0.0,0.0,0,0,0,0.0,0,4,0,0,0.0,0,0.0,0,0.0,0,0,2010.120174943999,0.0,0,0,1,1159,0.37999327138465155,0,0,0.6200067286153484,0.0
0,0.0,2390,0,0,0,0,0,7694,0,0.0,0.0,0,0,0,0.0,0,4,0,0,0.0,0,0.0,0,0.06580455599749291,0,0,2019.0,0.0,0,0,1,3936,0.0,0,0,0.9341954440025071,0.0
0,0.0,1269,0,0,0,0,0,9337,0,0.0,0.0,0,0,0,0.0,0,3,0,0,0.0,0,0.0,0,0.0,0,0,2012.9456024098426,0.0,0,0,1,1681,0.32728915664917624,0,0,0.6727108433508238,0.0
0,0.0,2535,0,0,0,0,0,9337,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0.0,0,0.0,0,0.21724436327947638,0,0,2017.9137781836025,0.0,0,0,1,2233,0.0,0,0,0.7827556367205236,0.0
0,0.0,6763,0,0,0,0,0,4096,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,2003.128320424651,0.0,0,0,1,7962,0.0,0,0,1.0,0.0
0,0.0,2517,0,0,0,0,0,9337,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,2016.0004053551904,0.0,0,0,1,7334,0.0,0,0,1.0,0.0
