girls,rating_R,cast,man,man,high,high,family,father,country,rating_TV-G,rating_NR,love,love,woman,home,rating_G,american,duration,black,life,life,rating_TV-MA,teen,rating_PG,series,rating_TV-Y,world,world,release_year,rating_TV-14,school,movie,type,director,christmas,girl,girl,city,rating_TV-Y7,rating_PG-13
0,0.0,6637,0,0,0,1,0,0,4655,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2015.0,0.0,1,0,1,6067,0,0,0,0,0.0,0.0
0,0.0,6273,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2016.0,1.0,0,0,1,8313,0,0,0,0,0.0,0.0
0,0.0,5347,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,1.0,0,0.0,1,0.0,0,0,2015.0,0.0,0,0,1,3302,0,0,0,0,0.0,0.0
0,0.0,5385,0,0,1,1,0,0,4096,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2006.0,0.0,2,0,1,1710,0,0,0,0,0.0,0.0
0,0.0,1526,0,0,0,1,0,0,2561,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2013.0,0.0,0,0,1,1148,0,0,0,0,0.0,0.0
0,0.0,1599,0,0,0,0,0,0,5146,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2018.0,1.0,0,0,1,4760,0,0,0,0,0.0,0.0
0,0.0,9464,0,0,0,0,0,0,7969,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,1,3389,0,0,0,0,0.0,0.0
0,0.0,6335,0,0,0,0,0,0,6044,0.0,0.0,0,0,0,0,0.0,0,6,0,0,0,0.0,0,0.0,1,0.0,0,0,2017.0,1.0,0,0,1,6150,0,0,0,0,0.0,0.0
0,0.0,3358,0,0,0,0,0,0,3325,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,1483,0,0,0,0,0.0,0.0
0,0.0,4291,0,0,0,0,1,0,9337,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,2117,0,0,0,0,0.0,0.0
0,0.0,6518,0,0,0,0,0,0,1818,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2016.0,1.0,0,0,1,6152,0,0,0,0,0.0,0.0
0,0.0,2431,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,7274,0,0,0,0,0.0,0.0
0,0.0,4770,0,0,0,0,1,0,9337,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,8079,0,0,0,0,0.0,0.0
0,0.0,8552,0,0,0,0,0,0,5146,0.0,0.0,0,1,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,1,7431,0,0,0,0,0.0,0.0
0,0.0,7920,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,1.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,1,6516,0,0,0,0,0.0,0.0
0,0.0,7858,0,0,0,0,0,0,4034,0.0,0.0,0,0,0,0,0.0,0,4,0,0,0,1.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,6720,0,0,0,0,0.0,0.0
0,0.0,3585,0,0,0,0,0,0,3944,0.0,0.0,0,0,1,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,1,5053,0,0,0,0,0.0,0.0
0,0.0,7261,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,4,0,0,0,1.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,1,9809,0,0,0,0,0.0,0.0
0,0.0,8682,0,0,0,0,0,0,5146,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,0.0,0,0.0,1,0.0,0,0,2018.0,0.0,0,0,1,9232,0,0,0,0,0.0,0.0
0,0.0,9006,0,0,0,0,0,0,6304,0.0,0.0,0,0,0,0,0.0,0,3,0,0,1,1.0,0,0.0,0,0.0,0,0,2014.0,0.0,0,0,1,8339,0,0,0,0,0.0,0.0
0,0.0,2333,1,0,0,0,0,1,5146,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2010.0,1.0,0,0,1,3196,0,0,0,0,0.0,0.0
0,0.0,8930,0,0,0,0,0,0,3654,0.0,0.0,0,1,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2015.0,0.0,0,0,1,6938,0,0,0,0,0.0,0.0
0,0.0,4105,0,0,0,0,0,0,9190,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,1.0,0,0.0,1,0.0,0,0,2017.0,0.0,0,0,1,2081,0,0,0,0,0.0,0.0
0,0.0,9661,0,0,0,0,0,0,4096,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,1985.0,0.0,0,0,1,9777,0,0,0,0,0.0,0.0
0,0.0,6803,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,1,3705,0,0,0,0,0.0,0.0
0,0.0,9127,0,0,0,0,0,0,3944,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,1,0.0,0,0.0,0,0,2018.0,0.0,0,0,1,4077,0,0,0,0,0.0,0.0
0,0.0,2759,0,0,0,0,0,0,4034,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,7380,0,0,0,0,0.0,0.0
0,0.0,6363,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2017.0,1.0,0,0,1,1674,0,0,0,0,0.0,0.0
0,0.0,8145,0,0,0,0,0,0,9337,0.0,0.0,0,0,1,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2016.0,1.0,0,0,1,4195,0,0,0,0,0.0,0.0
0,0.0,8684,0,0,0,0,0,0,4096,0.0,0.0,0,0,0,0,0.0,0,1,0,0,1,1.0,0,0.0,1,0.0,0,0,2016.0,0.0,0,0,1,6067,0,0,0,0,0.0,0.0
0,0.0,9521,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,1,6964,0,0,0,0,0.0,0.0
0,0.0,2352,0,0,0,0,0,0,8040,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,1,5292,0,0,0,0,0.0,0.0
0,0.0,2709,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,1.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,1,9277,0,0,0,0,0.0,0.0
0,0.0,2963,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,1,0.0,0,0,2019.0,1.0,0,0,1,6887,0,0,0,0,0.0,0.0
0,0.0,2128,0,0,0,1,0,0,2644,0.0,0.0,0,0,0,0,0.0,0,1,1,0,0,1.0,0,0.0,0,0.0,0,0,2021.0,0.0,1,0,1,8211,0,0,0,0,0.0,0.0
0,0.0,8962,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,1,8119,0,0,0,0,0.0,0.0
0,0.0,1342,0,0,0,0,0,0,5146,0.0,0.0,0,0,1,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2013.0,0.0,0,0,1,9596,0,0,0,0,0.0,0.0
0,0.0,2573,0,0,0,1,0,0,3654,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2018.0,0.0,2,0,1,4862,0,0,0,0,0.0,0.0
0,0.0,2372,0,0,0,0,0,0,5057,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,5879,0,0,0,0,0.0,0.0
0,0.0,4879,0,0,0,0,0,0,1468,0.0,0.0,0,0,1,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,2153,0,0,0,0,0.0,0.0
0,0.0,7617,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2017.0,1.0,0,0,1,1730,0,0,0,0,0.0,0.0
0,0.0,2654,0,0,0,0,0,0,4096,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,0.0,0,0.0,0,0.0,0,0,2017.0,1.0,0,0,1,2573,0,0,0,0,0.0,0.0
0,0.0,2100,0,0,0,0,1,0,5146,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2014.0,0.0,0,0,1,5951,0,0,0,0,0.0,0.0
0,0.0,4139,0,0,0,0,1,0,7356,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,1,1127,0,0,0,0,0.0,0.0
0,0.0,5532,0,0,0,0,0,0,9304,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2020.0,1.0,0,0,1,9417,0,0,0,0,0.0,0.0
0,0.0,8125,0,0,0,0,0,0,6582,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2017.0,1.0,0,0,1,6689,0,0,0,0,0.0,0.0
0,0.0,8807,0,0,0,0,0,0,6044,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,1,4110,0,0,0,0,0.0,0.0
0,0.0,6208,0,0,0,0,0,0,1468,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,2067,0,0,0,0,0.0,0.0
0,0.0,2935,0,0,0,0,1,0,9337,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,1277,0,0,0,0,0.0,0.0
0,0.0,5151,0,0,0,0,0,0,5146,0.0,0.0,1,1,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,4659,0,0,0,0,0.0,0.0
0,0.0,5181,0,0,0,0,0,0,6044,0.0,0.0,0,0,0,0,0.0,0,2,0,1,0,1.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,6529,0,0,0,0,0.0,0.0
0,0.0,5259,0,0,0,0,0,0,4096,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,7460,0,0,0,0,0.0,0.0
1,0.0,2395,0,0,0,0,0,0,6044,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,0.0,0,0.0,0,0.0,0,0,2011.0,1.0,0,0,1,1945,0,0,0,0,0.0,0.0
0,0.0,4343,0,0,0,0,0,0,4655,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,1,0.0,0,0.0,0,0,2018.0,0.0,0,0,1,6855,0,0,1,0,0.0,0.0
0,0.0,8889,0,0,0,0,0,0,3944,0.0,0.0,0,1,1,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2016.0,1.0,0,0,1,1231,0,0,0,0,0.0,0.0
0,0.0,8401,0,0,0,0,0,0,4096,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2009.0,0.0,0,0,1,1346,0,0,0,0,0.0,0.0
0,0.0,7267,0,0,0,0,0,0,7969,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,0.0,0,0.0,0,1.0,0,0,2015.0,0.0,0,0,1,7580,0,0,0,0,0.0,0.0
0,0.0,9915,0,0,0,0,0,0,4096,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2008.0,1.0,0,0,1,4921,0,0,1,0,0.0,0.0
0,0.0,7433,0,0,0,0,0,0,4096,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2012.0,0.0,0,0,1,4858,0,0,0,0,0.0,0.0
0,0.0,6088,0,0,0,0,0,0,1856,0.0,0.0,0,0,1,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2020.0,1.0,0,0,1,3037,0,0,0,0,0.0,0.0
0,0.0,8155,0,0,0,0,0,0,7969,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,1,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,5569,0,0,0,0,0.0,0.0
0,0.0,8911,0,0,0,0,0,0,5146,0.0,0.0,0,0,1,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,1,9855,0,0,0,0,0.0,0.0
0,0.0,5751,0,0,0,0,0,0,6044,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,0.0,0,0.0,0,1.0,0,0,2019.0,0.0,0,0,1,5236,0,0,0,0,0.0,0.0
0,0.0,3670,0,0,0,0,0,0,4034,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,9395,0,0,0,0,0.0,0.0
0,0.0,1303,0,0,0,0,0,0,6044,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2016.0,0.0,0,0,1,2441,0,0,0,0,0.0,0.0
0,0.0,7699,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,1,0.0,0,0,2016.0,1.0,0,0,1,4363,0,0,0,0,0.0,0.0
0,0.0,3952,0,0,0,0,0,0,3654,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,8776,0,0,0,0,0.0,0.0
0,0.0,1333,0,0,0,0,0,0,4096,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2018.0,1.0,0,0,1,9764,0,0,0,0,0.0,0.0
0,0.0,5595,0,0,0,0,0,0,5146,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,0,2016.0,1.0,0,0,1,3196,0,0,0,0,0.0,0.0
0,0.0,7524,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,7,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,9148,0,0,0,0,0.0,0.0
0,0.0,5155,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,5,0,0,0,1.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,1,5395,0,0,0,0,0.0,0.0
0,0.0,9595,0,0,0,0,1,0,5288,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,1,0.0,0,0,2016.0,0.0,0,0,1,4993,0,0,0,0,0.0,0.0
0,0.0,9945,0,0,0,0,0,0,4034,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,4078,0,0,0,0,0.0,0.0
0,0.0,6558,0,0,0,0,0,0,5146,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,4081,0,0,0,0,0.0,0.0
0,0.0,7371,0,0,0,0,0,0,6044,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,1,2243,0,0,0,0,0.0,0.0
0,0.0,6870,0,0,0,0,0,0,4655,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,1,0.0,0,0.0,0,0,2018.0,0.0,0,0,1,6855,0,0,1,0,0.0,0.0
0,0.0,3391,0,0,0,0,0,0,1325,0.0,0.0,0,1,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,7686,0,0,0,0,0.0,0.0
0,0.0,4272,0,0,0,0,0,0,9337,0.0,0.0,0,0,0,0,0.0,0,1,0,0,0,1.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,1,4714,0,0,0,0,0.0,0.0
0,0.0,9355,0,0,0,0,0,0,5057,0.0,0.0,0,0,0,0,0.0,0,2,0,0,0,1.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,1,6234,0,0,0,0,0.0,0.0
0,0.0,3915,0,0,0,0,0,0,7356,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,1.0,0,0.0,0,0.0,0,0,2014.0,0.0,0,0,1,1742,0,0,0,0,0.0,0.0
